id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	168	5.9258e-21	1.1823e-06	7.3e-05	1	71	-0.79011	0.77487	0.87454	1.0	3134	1	0.91721	-0.79011
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	202	1.9365e-20	1.1823e-06	7.3e-05	2	77	-0.86662	0.38677	0.57931	1.0	1593	6	1.0447	-0.86662
RVBD0543c:RVBD0543c	RVBD0543c	RVBD0543c	Essential	ES	MSMEG1063		35	3.7838e-18	1.1823e-06	7.3e-05	3	26	-0.83697	0.9878	0.99211	1.0	3967	0	0.0	-0.83697
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		193	6.4782e-16	1.1823e-06	7.3e-05	4	68	-0.90417	0.31732	0.49696	1.0	1354	9	0.87995	-0.90417
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		59	1.1673e-14	1.1823e-06	7.3e-05	5	28	-1.2668	0.25907	0.42749	1.0	1148	4	0.92576	-1.2668
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	624	6.0109e-14	1.1823e-06	7.3e-05	6	149	-0.86456	0.083184	0.1785	0.94604	490	29	0.85371	-0.86456
RVBD3646c:topA	RVBD3646c	topA	Essential	ES	MSMEG6157		162	2.9466e-13	1.1823e-06	7.3e-05	7	54	-0.84128	0.16195	0.29991	1.0	786	6	0.83027	-0.84128
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	223	1.29e-12	1.1823e-06	7.3e-05	8	65	-1.0068	0.00043481	0.00086903	0.098341	31	20	1.1553	-1.0068
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	368	1.4937e-12	1.1823e-06	7.3e-05	9	94	-0.86194	0.81562	0.90544	1.0	3292	12	0.78705	-0.86194
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		338	1.9382e-12	1.1823e-06	7.3e-05	10	84	-0.95074	0.34609	0.54006	1.0	1451	21	0.79325	-0.95074
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	2.4817e-12	1.1823e-06	7.3e-05	11	29	-0.94824	0.033612	0.082796	0.900518	276	5	0.89412	-0.94824
RVBD1308:atpA	RVBD1308	atpA	Essential	ES	MSMEG4938	Oxidative phosphorylation	105	1.0199e-11	1.1823e-06	7.3e-05	12	41	-0.69972	0.75381	0.86876	1.0	3051	3	1.07	-0.69972
RVBD1017c:prsA	RVBD1017c	prsA	Essential	ES	MSMEG5427	Pentose phosphate pathway,Purine metabolism	84	5.3513e-11	1.1823e-06	7.3e-05	13	34	-0.96914	0.43968	0.59634	1.0	1785	3	1.0506	-0.96914
RVBD1310:atpD	RVBD1310	atpD	Essential	ES	MSMEG4936	Oxidative phosphorylation	106	1.5752e-10	1.1823e-06	7.3e-05	14	39	-0.82988	0.99999	0.99999	1.0	4012	0	0.0	-0.82988
RVBD3809c:glf	RVBD3809c	glf	Essential	ES	MSMEG6404	Galactose metabolism,Amino sugar and nucleotide sugar metabolism	71	1.7325e-10	1.1823e-06	7.3e-05	15	29	-1.2951	0.13668	0.26626	1.0	704	4	0.94973	-1.2951
RVBD0685:tuf	RVBD0685	tuf	Essential	ES	MSMEG1401		70	3.6295e-10	1.1823e-06	7.3e-05	16	26	-1.2381	0.0088691	0.019562	0.672729	106	8	0.66707	-1.2381
RVBD3302c:glpD2	RVBD3302c	glpD2	Essential	ES	MSMEG1736	Glycerophospholipid metabolism	95	2.7265e-09	1.1823e-06	7.3e-05	17	34	-0.89198	0.00091528	0.0033874	0.257876	44	5	1.0281	-0.89198
RVBD2581c:RVBD2581c	RVBD2581c	RVBD2581c	Essential	ESD	MSMEG2975	Pyruvate metabolism	46	3.6022e-09	1.1823e-06	7.3e-05	18	21	-1.0327	0.8724	0.84836	1.0	3528	1	0.61362	-1.0327
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		75	4.0312e-09	1.1823e-06	7.3e-05	19	28	-0.95069	0.31244	0.47598	1.0	1334	4	0.94262	-0.95069
RVBD3801c:fadD32	RVBD3801c	fadD32	Essential	ES	MSMEG6393		125	7.5727e-09	1.1823e-06	7.3e-05	20	32	-1.0937	0.1708	0.31579	1.0	818	8	0.7791	-1.0937
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		90	1.1947e-08	1.1823e-06	7.3e-05	21	33	-0.85363	0.33951	0.51484	1.0	1430	4	0.7627	-0.85363
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	167	1.8604e-08	1.1823e-06	7.3e-05	22	47	-0.88923	2.5416e-05	5.7935e-05	0.014269	16	12	0.98194	-0.88923
RVBD1309:atpG	RVBD1309	atpG	Essential	ES	MSMEG4937	Oxidative phosphorylation	63	1.9445e-08	1.1823e-06	7.3e-05	23	26	-0.89297	0.91303	0.92195	1.0	3676	1	1.0323	-0.89297
