id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		281	3.2801e-46	1.1838e-06	0.000113	1	200	-0.8275	0.71391	0.98439	1.0	2836	20	0.55619	-0.8275
RVBD0811c:RVBD0811c	RVBD0811c	RVBD0811c	Essential	ES	MSMEG5796		98	2.1227e-22	1.1838e-06	0.000113	2	72	-0.71894	0.99905	1.0	1.0	3977	4	0.39437	-0.71894
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	148	9.1175e-21	1.1838e-06	0.000113	3	98	-0.91025	0.99997	1.0	1.0	3997	7	0.42997	-0.91025
RVBD1594:nadA	RVBD1594	nadA	Essential	ES	MSMEG3199	Nicotinate and nicotinamide metabolism	102	1.934e-19	1.1838e-06	0.000113	4	72	-0.8073	0.60751	0.96871	1.0	2580	6	0.42913	-0.8073
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	51	1.2226e-18	1.1838e-06	0.000113	5	36	-1.7971	0.32285	0.78526	1.0	1806	7	0.68946	-1.7971
RVBD1173:fbiC	RVBD1173	fbiC	NonEssential	NE	MSMEG5126	Methane metabolism	16	3.1837e-18	1.1838e-06	0.000113	6	16	-1.3625	1.0	1.0	1.0	4005	0	0.0	-1.3625
RVBD0896:gltA2	RVBD0896	gltA2	Essential	GD	MSMEG5672	Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism	147	4.7322e-17	1.1838e-06	0.000113	7	92	-0.72339	0.99998	1.0	1.0	3998	6	0.44261	-0.72339
RVBD1477:ripA	RVBD1477	ripA	Essential	ESD	MSMEG3145		109	2.0778e-15	1.1838e-06	0.000113	8	50	-1.0392	0.025114	0.22634	1.0	369	29	0.49256	-1.0392
RVBD2569c:RVBD2569c	RVBD2569c	RVBD2569c	NonEssential	NE	MSMEG3018		12	4.1191e-15	1.1838e-06	0.000113	9	12	-1.1635	1.0	1.0	1.0	4007	0	0.0	-1.1635
RVBD3261:fbiA	RVBD3261	fbiA	NonEssential	NE	MSMEG1830	Methane metabolism	10	6.6155e-15	1.1838e-06	0.000113	10	10	-1.2877	1.0	1.0	1.0	4006	0	0.0	-1.2877
RVBD1595:nadB	RVBD1595	nadB	Essential	ES	MSMEG3200	"""Alanine, aspartate and glutamate metabolism"",Nicotinate and nicotinamide metabolism"	115	2.1289e-14	1.1838e-06	0.000113	11	74	-0.70658	0.99983	1.0	1.0	3992	12	0.26347	-0.70658
RVBD3262:fbiB	RVBD3262	fbiB	NonEssential	NE	MSMEG1829	Methane metabolism	11	3.5853e-14	1.1838e-06	0.000113	12	8	-1.2185	0.85695	0.93063	1.0	3283	1	0.43686	-1.2185
RVBD2983:RVBD2983	RVBD2983	RVBD2983	NonEssential	NE	MSMEG2392	Methane metabolism	5	3.3293e-12	1.1838e-06	0.000113	13	4	-1.5319	0.94926	0.96367	1.0	3670	0	0.0	-1.5319
RVBD2051c:ppm1	RVBD2051c	ppm1	Essential	ESD	MSMEG3859		232	3.7531e-12	1.1838e-06	0.000113	14	108	-0.64823	0.9597	0.99968	1.0	3726	42	0.41028	-0.64823
RVBD1248c:RVBD1248c	RVBD1248c	RVBD1248c	NonEssential	NE	MSMEG5049		29	7.1805e-12	1.1838e-06	0.000113	15	23	-0.89836	0.99999	0.99999	1.0	4002	0	0.0	-0.89836
RVBD1229c:mrp	RVBD1229c	mrp	Essential	ES	MSMEG5068		95	5.305e-11	1.1838e-06	0.000113	16	58	-0.76287	0.92768	0.99913	1.0	3552	12	0.35821	-0.76287
RVBD1461:RVBD1461	RVBD1461	RVBD1461	Essential	ES	MSMEG3122		113	8.4062e-11	1.1838e-06	0.000113	17	65	-0.71493	0.42492	0.90999	1.0	2087	14	0.26452	-0.71493
RVBD3802c:RVBD3802c	RVBD3802c	RVBD3802c	Essential	ES	MSMEG6394		91	1.6403e-10	1.1838e-06	0.000113	18	51	-0.65487	0.95807	0.99966	1.0	3718	10	0.41767	-0.65487
RVBD0244c:fadE5	RVBD0244c	fadE5	NonEssential	NE	MSMEG0406		17	4.9444e-10	1.1838e-06	0.000113	19	16	-1.084	1.0	1.0	1.0	4003	0	0.0	-1.084
RVBD3245c:mtrB	RVBD3245c	mtrB	Essential	GD	MSMEG1875	Two-component system	139	7.993e-10	1.1838e-06	0.000113	20	59	-0.98552	0.21153	0.74037	1.0	1398	32	0.48965	-0.98552
RVBD3264c:manB	RVBD3264c	manB	Essential	ES		Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism	119	1.248e-09	1.1838e-06	0.000113	21	65	-0.73417	0.84399	0.99569	1.0	3243	19	0.29107	-0.73417
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		238	1.9278e-09	1.1838e-06	0.000113	22	111	-0.62817	0.20992	0.73124	1.0	1395	34	0.47887	-0.62817
RVBD1854c:ndh	RVBD1854c	ndh	Essential	GD	MSMEG3621	Oxidative phosphorylation	100	3.5547e-09	1.1838e-06	0.000113	23	58	-0.62574	0.83332	0.99519	1.0	3205	14	0.43931	-0.62574
RVBD2846c:efpA	RVBD2846c	efpA	Essential	ES	MSMEG2619		90	3.6512e-09	1.1838e-06	0.000113	24	52	-0.79674	0.77834	0.98962	1.0	3041	5	0.71678	-0.79674
RVBD2612c:pgsA1	RVBD2612c	pgsA1	Essential	ES	MSMEG2933	Glycerophospholipid metabolism	63	4.4094e-09	1.1838e-06	0.000113	25	39	-0.71519	0.20919	0.66721	1.0	1392	10	0.57132	-0.71519
