id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD2808:RVBD2808	RVBD2808	RVBD2808	NonEssential	NE			7	1.7614e-05	0.00011303	0.300743	1	4	-2.7587	0.35555	0.55484	1.0	2241	1	1.7549	-2.7587
RVBD3698:RVBD3698	RVBD3698	RVBD3698	NonEssential	NE	MSMEG6234		12	2.6017e-05	0.00028911	0.300743	2	9	-3.4789	0.57635	0.78809	1.0	2853	1	1.0214	-3.4789
RVBD2859c:RVBD2859c	RVBD2859c	RVBD2859c	NonEssential	NE	MSMEG2596		5	5.7424e-05	0.00024866	0.300743	3	3	-3.5366	0.99727	0.99659	1.0	3971	0	0.0	-3.5366
RVBD1728c:RVBD1728c	RVBD1728c	RVBD1728c	NonEssential	NE	MSMEG3714		6	7.4305e-05	0.00036287	0.30198	4	5	-1.7349	0.16398	0.33829	1.0	1463	1	2.4813	-1.7349
RVBD1577c:RVBD1577c	RVBD1577c	RVBD1577c	NonEssential	GD			73	0.00011122	0.0032254	0.610036	5	23	-2.8189	0.039272	0.34643	1.0	582	20	0.84647	-2.8189
RVBD0917:betP	RVBD0917	betP	NonEssential	NE	MSMEG1883		29	0.00011833	0.0016002	0.443894	6	9	-2.0414	0.27292	0.69094	1.0	1951	5	1.1205	-2.0414
RVBD1702c:RVBD1702c	RVBD1702c	RVBD1702c	NonEssential	ESD	MSMEG6573		117	0.00012441	0.0044984	0.658735	7	35	-1.9053	0.04179	0.40997	1.0	606	27	1.2035	-1.9053
RVBD2292c:RVBD2292c	RVBD2292c	RVBD2292c	NonEssential	NE			6	0.00015687	0.0008578	0.422315	8	6	-1.5698	0.99984	0.9998	1.0	3986	0	0.0	-1.5698
RVBD0036c:RVBD0036c	RVBD0036c	RVBD0036c	NonEssential	NE	MSMEG6923		6	0.00017813	0.0009506	0.422315	9	2	-2.1948	0.12475	0.29363	1.0	1247	2	2.3668	-2.1948
RVBD0001:dnaA	RVBD0001	dnaA	Essential	ES	MSMEG6947	Two-component system	26	0.00017894	0.002502	0.578383	10	8	-4.1804	0.20776	0.61143	1.0	1691	8	0.2379	-4.1804
RVBD1434:RVBD1434	RVBD1434	RVBD1434	NonEssential	Uncertain			2	0.00017894	0.00019631	0.300743	11	1	-1.528	0.74127	0.72202	1.0	3208	0	0.0	-1.528
RVBD2597:RVBD2597	RVBD2597	RVBD2597	NonEssential	GA			7	0.00020026	0.0010434	0.422315	12	3	-3.1372	0.87483	0.85388	1.0	3542	1	0.83419	-3.1372
RVBD2934:ppsD	RVBD2934	ppsD	NonEssential	NE	MSMEG4513		33	0.00022453	0.0031825	0.610036	13	16	-3.2148	0.77464	0.95742	1.0	3278	3	1.5184	-3.2148
RVBD1225c:RVBD1225c	RVBD1225c	RVBD1225c	NonEssential	NE	MSMEG0867		6	0.00022926	0.0011529	0.422315	14	3	-3.6452	0.51603	0.63828	1.0	2714	2	0.024154	-3.6452
RVBD1057:RVBD1057	RVBD1057	RVBD1057	NonEssential	NE	MSMEG5308		5	0.00024087	0.0010839	0.422315	15	2	-2.0681	0.97217	0.96657	1.0	3863	0	0.0	-2.0681
RVBD2097c:pafA	RVBD2097c	pafA	NonEssential	NE	MSMEG3890		12	0.000242	0.002038	0.498835	16	5	-2.5022	0.54138	0.76844	1.0	2772	3	-0.86053	-2.5022
RVBD3724A:cut5a	RVBD3724A	cut5a	NonEssential	NE	MSMEG5878		6	0.00028271	0.0013194	0.422315	17	4	-1.4582	0.8377	0.81439	1.0	3444	1	1.0332	-1.4582
