id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		165	1.6688e-82	1.1818e-06	4e-05	1	137	-1.9774	0.96676	0.99749	1.0	3870	5	0.64823	-1.9774
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		287	7.874500000000001e-55	1.1818e-06	4e-05	2	173	-1.3441	0.27398	0.6458	1.0	1839	18	0.54509	-1.3441
RVBD1547:dnaE1	RVBD1547	dnaE1	Essential	ES	MSMEG3178	DNA replication,Mismatch repair,Homologous recombination	363	9.443300000000001e-54	1.1818e-06	4e-05	3	192	-1.6496	0.99036	0.99949	1.0	3958	26	0.49791	-1.6496
RVBD2150c:ftsZ	RVBD2150c	ftsZ	Essential	ES	MSMEG4222		78	2.2574e-53	1.1818e-06	4e-05	4	71	-2.5394	0.92967	0.99059	1.0	3756	2	0.69315	-2.5394
RVBD0005:gyrB	RVBD0005	gyrB	Essential	ES	MSMEG0005		119	2.3406e-49	1.1818e-06	4e-05	5	91	-1.7226	1.0	1.0	1.0	4013	2	0.42803	-1.7226
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		198	1.53e-47	1.1818e-06	4e-05	6	128	-0.8685	0.99915	0.99996	1.0	3993	7	0.44697	-0.8685
RVBD0001:dnaA	RVBD0001	dnaA	Essential	ES	MSMEG6947	Two-component system	101	3.7206e-46	1.1818e-06	4e-05	7	84	-1.6793	0.99074	0.99952	1.0	3960	4	0.44771	-1.6793
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		106	4.3885e-46	1.1818e-06	4e-05	8	91	-1.6175	1.0	1.0	1.0	4012	2	0.46568	-1.6175
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	163	1.9012e-43	1.1818e-06	4e-05	9	108	-1.5059	0.89786	0.98793	1.0	3644	11	0.45722	-1.5059
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	271	7.7833e-39	1.1818e-06	4e-05	10	151	-1.2782	0.31447	0.6791	1.0	1975	26	0.4221	-1.2782
RVBD2201:asnB	RVBD2201	asnB	Essential	ES	MSMEG4269	"""Alanine, aspartate and glutamate metabolism"""	196	3.2677e-38	1.1818e-06	4e-05	11	115	-0.96442	0.37932	0.7393	1.0	2145	20	0.59799	-0.96442
RVBD1111c:RVBD1111c	RVBD1111c	RVBD1111c	Essential	ESD	MSMEG5223		106	2.1708000000000002e-34	1.1818e-06	4e-05	12	75	-1.2205	0.19058	0.52919	0.984097	1520	6	0.57954	-1.2205
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	303	2.5309000000000002e-33	1.1818e-06	4e-05	13	161	-1.2339	0.99314	0.99969	1.0	3966	10	0.42879	-1.2339
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	194	1.8014e-31	1.1818e-06	4e-05	14	116	-1.1498	0.98574	0.99919	1.0	3935	6	0.6256	-1.1498
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	188	1.931e-30	1.1818e-06	4e-05	15	105	-1.4432	0.91667	0.99086	1.0	3715	14	0.41692	-1.4432
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		157	2.3304e-30	1.1818e-06	4e-05	16	92	-0.94651	0.99982	0.99999	1.0	4002	5	0.45752	-0.94651
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		101	1.2093e-26	1.1818e-06	4e-05	17	71	-1.1109	0.74044	0.94683	1.0	3156	8	0.46869	-1.1109
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		96	9.804e-25	1.1818e-06	4e-05	18	65	-0.95244	0.99998	0.99999	1.0	4009	3	0.27507	-0.95244
RVBD3051c:nrdE	RVBD3051c	nrdE	Essential	ES	MSMEG2299	Purine metabolism,Pyrimidine metabolism	176	3.2798e-24	1.1818e-06	4e-05	19	90	-1.347	0.98324	0.99903	1.0	3924	10	0.54852	-1.347
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	180	4.501199999999999e-22	1.1818e-06	4e-05	20	99	-1.0495	0.78997	0.96028	1.0	3321	13	0.49937	-1.0495
RVBD2703:sigA	RVBD2703	sigA	Essential	ES	MSMEG2758		72	1.0305e-21	1.1818e-06	4e-05	21	53	-1.0879	0.99827	0.99981	1.0	3989	2	0.43971	-1.0879
RVBD3457c:rpoA	RVBD3457c	rpoA	Essential	ES	MSMEG1524	RNA polymerase	80	3.8388999999999996e-21	1.1818e-06	4e-05	22	52	-1.2766	0.99995	1.0	1.0	4006	2	0.51	-1.2766
RVBD2925c:rnc	RVBD2925c	rnc	Essential	ES	MSMEG2418		68	4.7732e-21	1.1818e-06	4e-05	23	44	-1.0508	0.99982	0.99996	1.0	4003	1	0.29814	-1.0508
RVBD3801c:fadD32	RVBD3801c	fadD32	Essential	ES	MSMEG6393		178	6.2748999999999995e-21	1.1818e-06	4e-05	24	95	-0.86519	0.997	0.99986	1.0	3982	12	0.47389	-0.86519
RVBD1480:RVBD1480	RVBD1480	RVBD1480	Essential	ES	MSMEG3148		64	9.1325e-21	1.1818e-06	4e-05	25	37	-1.5275	0.9714	0.99642	1.0	3885	5	0.35312	-1.5275
RVBD2165c:RVBD2165c	RVBD2165c	RVBD2165c	Essential	GD	MSMEG4235		138	1.1223000000000001e-20	1.1818e-06	4e-05	26	68	-1.2126	0.9756	0.99837	1.0	3898	11	0.3817	-1.2126
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	232	2.2801e-20	1.1818e-06	4e-05	27	112	-0.73339	0.75417	0.94942	1.0	3191	19	0.37637	-0.73339
RVBD2748c:ftsK	RVBD2748c	ftsK	Essential	ES	MSMEG2690		224	9.5597e-20	1.1818e-06	4e-05	28	100	-1.045	0.14163	0.38015	0.909441	1295	22	0.39827	-1.045
RVBD1479:moxR1	RVBD1479	moxR1	Essential	ES	MSMEG3147		161	2.4521000000000003e-19	1.1818e-06	4e-05	29	78	-0.85479	0.67147	0.91633	1.0	2945	16	0.43909	-0.85479
RVBD0430:RVBD0430	RVBD0430	RVBD0430	Essential	ES	MSMEG0833		23	5.1907e-19	1.1818e-06	4e-05	30	21	-1.7519	0.99387	0.99428	1.0	3971	0	0.0	-1.7519
RVBD3285:accA3	RVBD3285	accA3	Essential	ES	MSMEG1807	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	114	7.3904e-18	1.1818e-06	4e-05	31	69	-0.93282	0.8843	0.98543	1.0	3604	4	0.48216	-0.93282
RVBD3436c:glmS	RVBD3436c	glmS	Essential	ES	MSMEG1568	"Amino sugar and nucleotide sugar metabolism,""Alanine, aspartate and glutamate metabolism"""	165	4.588e-17	1.1818e-06	4e-05	32	83	-0.97839	0.49885	0.81895	1.0	2459	12	0.53733	-0.97839
RVBD0482:murB	RVBD0482	murB	Essential	ES	MSMEG0928	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	77	9.7975e-17	1.1818e-06	4e-05	33	47	-1.1265	0.99201	0.99937	1.0	3962	6	0.39791	-1.1265
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		108	1.1387e-16	1.1818e-06	4e-05	34	60	-0.84649	0.98788	0.9993	1.0	3942	9	0.35151	-0.84649
RVBD2243:fabD	RVBD2243	fabD	Essential	ES	MSMEG4325	Fatty acid biosynthesis	66	3.0677e-16	1.1818e-06	4e-05	35	44	-0.88989	0.82323	0.96084	1.0	3434	2	0.95849	-0.88989
RVBD3909:RVBD3909	RVBD3909	RVBD3909	Essential	ES	MSMEG6928		219	8.4301e-16	1.1818e-06	4e-05	36	91	-0.78135	0.97506	0.99829	1.0	3897	18	0.40857	-0.78135
RVBD3260c:whiB2	RVBD3260c	whiB2	Essential	ES	MSMEG1831		31	1.1669e-15	1.1818e-06	4e-05	37	23	-1.9374	0.95417	0.97955	1.0	3822	1	0.38167	-1.9374
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	1.3473e-15	1.1818e-06	4e-05	38	33	-0.88771	0.98356	0.99729	1.0	3926	2	0.64599	-0.88771
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	130	5.0123e-15	1.1818e-06	4e-05	39	71	-0.64739	0.98131	0.99885	1.0	3916	1	1.1786	-0.64739
RVBD1110:lytB2	RVBD1110	lytB2	Essential	ES	MSMEG5224	Terpenoid backbone biosynthesis	103	5.9128e-15	1.1818e-06	4e-05	40	59	-1.2147	0.77622	0.95558	1.0	3268	10	0.45909	-1.2147
RVBD3915:RVBD3915	RVBD3915	RVBD3915	Essential	ES	MSMEG6935		105	6.9299e-15	1.1818e-06	4e-05	41	52	-1.0794	0.8182	0.96894	1.0	3417	9	0.55803	-1.0794
RVBD0543c:RVBD0543c	RVBD0543c	RVBD0543c	Essential	ES	MSMEG1063		36	1.6563e-14	1.1818e-06	4e-05	42	26	-1.122	0.99715	0.99738	1.0	3984	1	0.31284	-1.122
RVBD2927c:RVBD2927c	RVBD2927c	RVBD2927c	Essential	ES	MSMEG2416		43	2.466e-13	1.1818e-06	4e-05	43	24	-1.5052	0.47278	0.74895	1.0	2402	4	0.64722	-1.5052
RVBD3583c:RVBD3583c	RVBD3583c	RVBD3583c	Essential	GD	MSMEG6077		33	2.872e-13	1.1818e-06	4e-05	44	23	-1.3273	0.81127	0.93283	1.0	3377	3	0.34678	-1.3273
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		120	1.495e-12	1.1818e-06	4e-05	45	59	-0.66547	0.99235	0.99963	1.0	3965	8	0.42788	-0.66547
RVBD1166:lpqW	RVBD1166	lpqW	Essential	ES	MSMEG5130		160	3.4873e-12	1.1818e-06	4e-05	46	76	-0.56021	0.94728	0.99518	1.0	3805	4	0.48589	-0.56021
RVBD2147c:RVBD2147c	RVBD2147c	RVBD2147c	Essential	ES	MSMEG4219		45	4.2994e-12	1.1818e-06	4e-05	47	26	-2.0877	0.99217	0.99771	1.0	3964	2	0.22153	-2.0877
RVBD3048c:nrdF2	RVBD3048c	nrdF2	Essential	ES	MSMEG2313	Purine metabolism,Pyrimidine metabolism	104	4.9275e-12	1.1818e-06	4e-05	48	55	-0.89755	0.99941	0.99997	1.0	3997	4	0.59098	-0.89755
RVBD2156c:murX	RVBD2156c	murX	Essential	ES	MSMEG4230	Peptidoglycan biosynthesis	123	6.6034e-12	1.1818e-06	4e-05	49	61	-0.64645	0.91518	0.99067	1.0	3713	10	0.50759	-0.64645
RVBD2783c:gpsI	RVBD2783c	gpsI	Essential	ES	MSMEG2656	RNA degradation	222	1.0707e-11	1.1818e-06	4e-05	50	91	-0.99731	0.38922	0.74491	1.0	2179	22	0.64216	-0.99731
RVBD0903c:prrA	RVBD0903c	prrA	Essential	ES	MSMEG5662	Two-component system	70	1.8604e-11	1.1818e-06	4e-05	51	42	-0.86523	0.25184	0.57818	1.0	1766	4	0.6745	-0.86523
RVBD2890c:rpsB	RVBD2890c	rpsB	Essential	ES	MSMEG2519	Ribosome	60	1.9704e-11	1.1818e-06	4e-05	52	33	-1.2244	0.781	0.94239	1.0	3282	2	0.57878	-1.2244
RVBD2182c:RVBD2182c	RVBD2182c	RVBD2182c	Essential	ES	MSMEG4248	Glycerolipid metabolism,Glycerophospholipid metabolism	93	2.3854e-11	1.1818e-06	4e-05	53	48	-1.0591	0.21301	0.55865	0.995948	1619	14	0.58693	-1.0591
RVBD1477:ripA	RVBD1477	ripA	Essential	ESD	MSMEG3145		139	1.3408e-10	1.1818e-06	4e-05	54	63	-0.81919	0.81439	0.96782	1.0	3396	12	0.49365	-0.81919
RVBD2145c:wag31	RVBD2145c	wag31	Essential	ES	MSMEG4217		89	1.4001e-10	1.1818e-06	4e-05	55	48	-0.76884	0.75829	0.94723	1.0	3204	5	0.75512	-0.76884
RVBD3053c:nrdH	RVBD3053c	nrdH	Essential	ES	MSMEG2297		12	2.2288e-10	1.1818e-06	4e-05	56	11	-1.9022	0.99999	0.99999	1.0	4010	0	0.0	-1.9022
RVBD0002:dnaN	RVBD0002	dnaN	Essential	ES	MSMEG0001	DNA replication,Mismatch repair,Homologous recombination	140	2.2638e-10	1.1818e-06	4e-05	57	55	-0.92696	0.94404	0.99475	1.0	3797	9	0.51228	-0.92696
RVBD1611:trpC	RVBD1611	trpC	Essential	ES	MSMEG3219	"""Phenylalanine, tyrosine and tryptophan biosynthesis"""	76	2.6004e-10	1.1818e-06	4e-05	58	40	-0.71335	0.933	0.99171	1.0	3765	6	0.35207	-0.71335
RVBD2245:kasA	RVBD2245	kasA	Essential	ES	MSMEG4327		86	8.244e-10	1.1818e-06	4e-05	59	46	-0.6874	0.16063	0.43061	0.929017	1398	5	0.51316	-0.6874
RVBD2926c:RVBD2926c	RVBD2926c	RVBD2926c	Essential	NE	MSMEG2417		7	1.0409e-09	1.1818e-06	4e-05	60	6	-1.6531	0.9818	0.99095	1.0	3919	0	0.0	-1.6531
RVBD0824c:desA1	RVBD0824c	desA1	Essential	ES	MSMEG5773	Fatty acid biosynthesis,Biosynthesis of unsaturated fatty acids	58	1.083e-09	1.1818e-06	4e-05	61	35	-0.76856	0.95408	0.99271	1.0	3821	4	0.56714	-0.76856
RVBD3781:rfbE	RVBD3781	rfbE	Essential	ES	MSMEG6366		79	1.195e-09	1.1818e-06	4e-05	62	42	-0.74348	0.81328	0.96398	1.0	3390	6	0.46019	-0.74348
RVBD3646c:topA	RVBD3646c	topA	Essential	ES	MSMEG6157		181	1.9501e-09	1.1818e-06	4e-05	63	75	-0.79852	0.91447	0.99064	1.0	3708	20	0.46293	-0.79852
RVBD3280:accD5	RVBD3280	accD5	Essential	ES	MSMEG1813	"Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,""Valine, leucine and isoleucine degradation"""	116	4.037e-09	1.1818e-06	4e-05	64	55	-0.80633	0.23837	0.59654	1.0	1722	10	0.62478	-0.80633
RVBD0431:RVBD0431	RVBD0431	RVBD0431	Essential	NE	MSMEG0834		8	5.234e-09	1.1818e-06	4e-05	65	8	-1.152	1.0	1.0	1.0	4014	0	0.0	-1.152
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	176	7.21e-09	1.1818e-06	4e-05	66	74	-0.74954	0.68181	0.92059	1.0	2980	16	0.47714	-0.74954
RVBD2457c:clpX	RVBD2457c	clpX	Essential	ES	MSMEG4671		124	9.8748e-09	1.1818e-06	4e-05	67	47	-0.98691	0.4176	0.76987	1.0	2266	12	0.53126	-0.98691
RVBD3277:RVBD3277	RVBD3277	RVBD3277	Essential	ES	MSMEG1817		105	9.9511e-09	1.1818e-06	4e-05	68	51	-0.83147	0.8596	0.97973	1.0	3530	5	0.69181	-0.83147
RVBD0337c:aspC	RVBD0337c	aspC	Essential	ES	MSMEG0688	"""Alanine, aspartate and glutamate metabolism"",""Valine, leucine and isoleucine biosynthesis"",Arginine biosynthesis"	144	1.4891e-08	1.1818e-06	4e-05	69	64	-0.94038	0.52169	0.83777	1.0	2522	15	0.43023	-0.94038
RVBD1223:htrA	RVBD1223	htrA	Essential	ES	MSMEG5070		92	1.5171e-08	1.1818e-06	4e-05	70	45	-0.72041	0.83466	0.97229	1.0	3456	3	0.4291	-0.72041
RVBD3721c:dnaZX	RVBD3721c	dnaZX	Essential	ES	MSMEG6285	DNA replication,Mismatch repair,Homologous recombination	162	2.1235e-08	1.1818e-06	4e-05	71	66	-0.80025	0.88656	0.98614	1.0	3612	19	0.38778	-0.80025
RVBD2981c:ddlA	RVBD2981c	ddlA	Essential	ES	MSMEG2395	D-Alanine metabolism,Peptidoglycan biosynthesis	121	3.0587e-08	1.1818e-06	4e-05	72	53	-0.78558	0.88892	0.98669	1.0	3621	9	0.47864	-0.78558
RVBD1018c:glmU	RVBD1018c	glmU	Essential	ES	MSMEG5426	Amino sugar and nucleotide sugar metabolism	88	4.9521e-08	1.1818e-06	4e-05	73	41	-0.74436	0.40756	0.75005	1.0	2245	5	0.49274	-0.74436
RVBD2247:accD6	RVBD2247	accD6	Essential	GD	MSMEG4329	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	112	6.2564e-08	1.1818e-06	4e-05	74	50	-0.83405	0.979	0.99863	1.0	3908	8	0.41969	-0.83405
RVBD0225:RVBD0225	RVBD0225	RVBD0225	Essential	ES	MSMEG0311		97	8.5671e-08	1.1818e-06	4e-05	75	46	-0.8294	0.9228	0.99141	1.0	3731	8	0.51234	-0.8294
RVBD3809c:glf	RVBD3809c	glf	Essential	ES	MSMEG6404	Galactose metabolism,Amino sugar and nucleotide sugar metabolism	88	9.3733e-08	1.1818e-06	4e-05	76	43	-0.85008	0.5947	0.87347	1.0	2721	7	0.52891	-0.85008
RVBD2461c:clpP1	RVBD2461c	clpP1	Essential	ES	MSMEG4673		61	1.0377e-07	1.1818e-06	4e-05	77	32	-0.83891	0.99811	0.99968	1.0	3987	1	0.81488	-0.83891
RVBD2166c:RVBD2166c	RVBD2166c	RVBD2166c	Essential	NE	MSMEG4236		6	1.1009e-07	1.1818e-06	4e-05	78	5	-3.3449	0.99983	0.99999	1.0	4004	0	0.0	-3.3449
RVBD1699:pyrG	RVBD1699	pyrG	Essential	ES	MSMEG3746	Pyrimidine metabolism	177	2.6314e-07	1.1818e-06	4e-05	79	66	-0.77348	0.62736	0.89851	1.0	2802	21	0.37824	-0.77348
RVBD1423:whiA	RVBD1423	whiA	Essential	ES	MSMEG3081		70	4.0458e-07	1.1818e-06	4e-05	80	34	-0.78317	0.15944	0.45775	0.946928	1388	4	0.51982	-0.78317
RVBD2986c:hupB	RVBD2986c	hupB	NonEssential	GD	MSMEG2389		25	5.492e-07	1.1818e-06	4e-05	81	15	-0.72829	0.91875	0.95731	1.0	3720	2	0.29892	-0.72829
RVBD3682:ponA2	RVBD3682	ponA2	NonEssential	GA	MSMEG6201		15	5.7047e-07	1.1818e-06	4e-05	82	11	-0.70044	0.98622	0.99046	1.0	3937	0	0.0	-0.70044
RVBD1827:garA	RVBD1827	garA	Essential	GD	MSMEG3647		64	8.7756e-07	1.1818e-06	4e-05	83	32	-0.89878	0.79537	0.9517	1.0	3330	3	0.6994	-0.89878
RVBD3908:mutT4	RVBD3908	mutT4	Essential	NE	MSMEG6927		5	1.3449e-06	1.1818e-06	4e-05	84	5	-1.025	1.0	1.0	1.0	4011	0	0.0	-1.025
RVBD3302c:glpD2	RVBD3302c	glpD2	Essential	ES	MSMEG1736	Glycerophospholipid metabolism	157	1.6672e-06	1.1818e-06	4e-05	85	61	-0.9471	0.76053	0.95194	1.0	3213	15	0.54186	-0.9471
RVBD1023:eno	RVBD1023	eno	Essential	GD	MSMEG5415	Glycolysis / Gluconeogenesis,Methane metabolism,RNA degradation	87	1.7234e-06	1.1818e-06	4e-05	86	40	-0.7537	0.35239	0.69686	1.0	2083	9	0.56292	-0.7537
RVBD3265c:wbbL1	RVBD3265c	wbbL1	Essential	ES	MSMEG1826	Arabinogalactan biosynthesis - Mycobacterium	95	1.8341e-06	1.1818e-06	4e-05	87	36	-0.98536	0.74618	0.94683	1.0	3168	11	0.35643	-0.98536
RVBD3245c:mtrB	RVBD3245c	mtrB	Essential	GD	MSMEG1875	Two-component system	143	1.9334e-06	1.1818e-06	4e-05	88	52	-0.59846	0.74031	0.94674	1.0	3155	16	0.37097	-0.59846
RVBD2158c:murE	RVBD2158c	murE	Essential	ES	MSMEG4232	Lysine biosynthesis,Peptidoglycan biosynthesis	103	1.9628e-06	1.1818e-06	4e-05	89	34	-0.73558	0.1905	0.52919	0.984097	1519	16	0.54694	-0.73558
RVBD1830:RVBD1830	RVBD1830	RVBD1830	Essential	ES	MSMEG3644		70	2.1687e-06	1.1818e-06	4e-05	90	28	-1.0798	0.77826	0.94972	1.0	3273	3	0.7757	-1.0798
