id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	361	8.3315e-44	1.1832e-06	3e-05	1	230	-1.4304	0.91306	0.99998	1.0	3791	34	1.0414	-1.4304
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	358	4.5767000000000003e-42	1.1832e-06	3e-05	2	214	-1.519	0.34092	0.98483	1.0	2517	51	1.0233	-1.519
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	402	5.5646e-29	1.1832e-06	3e-05	3	214	-1.3752	0.51141	0.99611	1.0	2946	62	1.0204	-1.3752
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	216	1.8308e-26	1.1832e-06	3e-05	4	137	-1.5136	0.96043	0.99999	1.0	3903	21	0.87152	-1.5136
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	257	9.1503e-26	1.1832e-06	3e-05	5	158	-1.1648	0.97883	1.0	1.0	3950	23	0.93273	-1.1648
RVBD3792:aftA	RVBD3792	aftA	Essential	ES	MSMEG6386	Arabinogalactan biosynthesis - Mycobacterium	225	3.0462e-19	1.1832e-06	3e-05	6	139	-1.2537	0.31916	0.98277	1.0	2433	24	0.84855	-1.2537
RVBD3790:dprE1	RVBD3790	dprE1	Essential	ES	MSMEG6382		117	2.1152e-18	1.1832e-06	3e-05	7	73	-1.4664	0.88258	0.99995	1.0	3730	16	0.89192	-1.4664
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	195	1.0223e-15	1.1832e-06	3e-05	8	92	-1.5679	0.22803	0.96629	1.0	2090	40	0.90091	-1.5679
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	78	1.7967e-15	1.1832e-06	3e-05	9	52	-1.1946	0.87428	0.99984	1.0	3704	6	0.99981	-1.1946
RVBD2174:mptA	RVBD2174	mptA	Essential	ES	MSMEG4241	Lipoarabinomannan (LAM) biosynthesis	189	1.956e-13	1.1832e-06	3e-05	10	110	-1.2425	0.9727	1.0	1.0	3933	27	0.89457	-1.2425
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	85	8.8452e-13	1.1832e-06	3e-05	11	52	-1.5405	0.067295	0.80444	1.0	1091	14	1.2063	-1.5405
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		70	2.1521e-12	1.1832e-06	3e-05	12	41	-1.5691	0.30919	0.96213	1.0	2388	6	0.96601	-1.5691
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		323	2.5667e-12	1.1832e-06	3e-05	13	155	-1.28	0.23276	0.96723	1.0	2105	64	0.96472	-1.28
RVBD1476:RVBD1476	RVBD1476	RVBD1476	Essential	ES	MSMEG3144		78	1.6482e-11	1.1832e-06	3e-05	14	48	-1.3389	0.12448	0.87806	1.0	1532	7	0.9146	-1.3389
