id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3114:RVBD3114	RVBD3114	RVBD3114	NonEssential	NE	MSMEG3575		6	1.5551e-07	3.5462e-06	0.014851	1	5	0	0.94233	0.98786	1.0	3945	6	-10.659	0.0
RVBD1896c:RVBD1896c	RVBD1896c	RVBD1896c	NonEssential	NE	MSMEG0614		8	6.2354e-06	0.00038417	0.804455	2	5	0	0.016514	0.010633	0.073847	602	8	-10.187	-10.187
RVBD1047:RVBD1047	RVBD1047	RVBD1047	NonEssential	NE	MSMEG4154		19	3.8953e-05	0.0038618	1.0	3	5	0	0.031762	0.016995	0.107027	707	19	-9.2711	-9.2711
RVBD0247c:RVBD0247c	RVBD0247c	RVBD0247c	NonEssential	NE	MSMEG0417	Citrate cycle (TCA cycle),Butanoate metabolism,Oxidative phosphorylation	8	4.3008e-05	0.0013866	1.0	4	4	0	0.90123	0.97189	1.0	3856	8	-9.3366	-9.3366
RVBD1803c:PE-PGRS32	RVBD1803c	PE-PGRS32	NonEssential	NE			6	6.852e-05	0.0017341	1.0	5	4	0	0.82576	0.91671	1.0	3601	6	-10.09	-10.09
RVBD1980c:mpt64	RVBD1980c	mpt64	NonEssential	GA	MSMEG2331		8	9.8e-05	0.0027247	1.0	6	4	0	0.9336	0.98823	1.0	3930	8	-9.5822	-9.5822
RVBD3075c:RVBD3075c	RVBD3075c	RVBD3075c	NonEssential	NE	MSMEG2667	Two-component system	7	0.00011419	0.002831	1.0	7	3	0	0.95003	0.99289	1.0	3963	7	-9.5038	-9.5038
RVBD2501c:accA1	RVBD2501c	accA1	NonEssential	NE	MSMEG4716	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	7	0.00011461	0.0028594	1.0	8	1	0	0.30585	0.31563	0.823071	1597	7	-8.5703	-8.5703
RVBD3840:RVBD3840	RVBD3840	RVBD3840	NonEssential	GA	MSMEG6421		5	0.00012058	0.001545	1.0	9	3	0	0.93757	0.98352	1.0	3935	5	-10.753	-10.753
RVBD0156:pntAb	RVBD0156	pntAb	NonEssential	Uncertain	MSMEG0151	Nicotinate and nicotinamide metabolism	9	0.00014164	0.0039044	1.0	10	4	0	0.86256	0.95038	1.0	3740	9	-8.4321	-8.4321
RVBD0290:eccD3	RVBD0290	eccD3	Essential	ES	MSMEG0623		192	0.000156	0.11054	1.0	11	9	0	0.021068	0.015122	0.097284	643	192	-6.5918	-6.5918
RVBD0980c:PE-PGRS18	RVBD0980c	PE-PGRS18	NonEssential	GA			5	0.00018157	0.0022542	1.0	12	3	0	0.96288	0.99412	1.0	3987	5	-10.622	-10.622
RVBD3738c:PPE66	RVBD3738c	PPE66	NonEssential	GA	MSMEG0619		7	0.00018453	0.0041691	1.0	13	4	0	0.86994	0.95201	1.0	3761	7	-9.9956	-9.9956
RVBD1870c:RVBD1870c	RVBD1870c	RVBD1870c	NonEssential	NE			5	0.00021933	0.0025237	1.0	14	3	0	0.94613	0.98806	1.0	3954	5	-10.555	-10.555
RVBD3628:ppa	RVBD3628	ppa	Essential	ES	MSMEG6114	Oxidative phosphorylation	47	0.00032822	0.053903	1.0	15	3	0	0.63251	0.72089	1.0	2775	47	-7.0462	-7.0462
RVBD2026c:RVBD2026c	RVBD2026c	RVBD2026c	NonEssential	NE	MSMEG3950		7	0.00034378	0.0049777	1.0	16	2	0	0.96303	0.99689	1.0	3988	7	-9.3836	-9.3836
RVBD1371:RVBD1371	RVBD1371	RVBD1371	NonEssential	NE			26	0.00036189	0.025914	1.0	17	3	0	0.19644	0.21009	0.678645	1250	26	-6.8176	-6.8176
RVBD0241c:htdX	RVBD0241c	htdX	NonEssential	NE	MSMEG0371		6	0.00046771	0.005434	1.0	18	3	0	0.91159	0.97412	1.0	3885	6	-9.6519	-9.6519
RVBD3017c:esxQ	RVBD3017c	esxQ	NonEssential	NE	MSMEG0621		5	0.00047833	0.0056987	1.0	19	3	0	0.8549	0.93363	1.0	3710	5	-10.291	-10.291
RVBD2497c:bkdA	RVBD2497c	bkdA	NonEssential	NE	MSMEG4712	Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism	9	0.00048766	0.010441	1.0	20	4	0	0.94601	0.99356	1.0	3952	9	-9.5556	-9.5556
RVBD2731:RVBD2731	RVBD2731	RVBD2731	NonEssential	NE	MSMEG2731		10	0.00051287	0.010933	1.0	21	4	0	0.80832	0.91555	1.0	3531	10	-9.2099	-9.2099
RVBD0121c:RVBD0121c	RVBD0121c	RVBD0121c	NonEssential	NE	MSMEG6526		5	0.00051581	0.0063394	1.0	22	3	0	0.9123	0.97215	1.0	3887	5	-10.269	-10.269
RVBD0790c:RVBD0790c	RVBD0790c	RVBD0790c	NonEssential	NE			6	0.00054069	0.0064245	1.0	23	2	0	0.97293	0.99803	1.0	4002	6	-9.0665	-9.0665
RVBD2590:fadD9	RVBD2590	fadD9	NonEssential	NE	MSMEG2956		22	0.00054082	0.029026	1.0	24	5	0	0.70239	0.81514	1.0	3079	22	-8.1465	-8.1465
RVBD0773c:ggtA	RVBD0773c	ggtA	NonEssential	NE	MSMEG1615	Taurine and hypotaurine metabolism,Cyanoamino acid metabolism,Glutathione metabolism	16	0.00058145	0.021959	1.0	25	4	0	0.8667	0.95931	1.0	3750	16	-8.4669	-8.4669
RVBD2704:RVBD2704	RVBD2704	RVBD2704	NonEssential	GA	MSMEG1681		5	0.00059965	0.0069021	1.0	26	2	0	0.96283	0.99412	1.0	3986	5	-9.8972	-9.8972
RVBD2856:nicT	RVBD2856	nicT	NonEssential	NE			13	0.00076767	0.018344	1.0	27	4	0	0.94316	0.99438	1.0	3947	13	-8.733	-8.733
RVBD1964:yrbE3A	RVBD1964	yrbE3A	NonEssential	NE	MSMEG0344	ABC transporters	8	0.00082927	0.012366	1.0	28	1	0	0.82785	0.92497	1.0	3608	8	-7.6287	-7.6287
RVBD2470:glbO	RVBD2470	glbO	NonEssential	NE	MSMEG4695		5	0.00084383	0.0097509	1.0	29	3	0	0.91088	0.97023	1.0	3883	5	-10.098	-10.098
RVBD3083:RVBD3083	RVBD3083	RVBD3083	NonEssential	NE	MSMEG6440		12	0.0008519	0.017666	1.0	30	3	0	0.99145	0.99996	1.0	4013	12	-8.9184	-8.9184
RVBD2550c:vapB20	RVBD2550c	vapB20	NonEssential	NE			5	0.00087176	0.010009	1.0	31	2	0	0.21654	0.20245	0.666439	1306	5	-8.9592	-8.9592
RVBD2083:RVBD2083	RVBD2083	RVBD2083	NonEssential	NE			6	0.00090563	0.011013	1.0	32	3	0	0.94489	0.98887	1.0	3949	6	-9.6796	-9.6796
RVBD2781c:RVBD2781c	RVBD2781c	RVBD2781c	NonEssential	NE	MSMEG4971	Nitrogen metabolism	7	0.00092277	0.010611	1.0	33	3	0	0.38192	0.4068	0.922569	1832	7	-9.3369	-9.3369
RVBD3318:sdhA	RVBD3318	sdhA	NonEssential	NE	MSMEG1670	Citrate cycle (TCA cycle),Butanoate metabolism,Oxidative phosphorylation	7	0.00096878	0.010753	1.0	34	3	0	0.95928	0.99595	1.0	3980	7	-9.9115	-9.9115
RVBD3820c:papA2	RVBD3820c	papA2	NonEssential	NE	MSMEG4728		12	0.00098194	0.019096	1.0	35	1	0	0.49045	0.55737	1.0	2233	12	-6.7594	-6.7594
RVBD1928c:RVBD1928c	RVBD1928c	RVBD1928c	NonEssential	NE	MSMEG4862		12	0.0010746	0.020848	1.0	36	4	0	0.85157	0.94664	1.0	3698	12	-7.9931	-7.9931
RVBD3251c:rubA	RVBD3251c	rubA	NonEssential	NE	MSMEG1840		5	0.0010892	0.012075	1.0	37	3	0	0.84202	0.92099	1.0	3664	5	-10.005	-10.005
RVBD2831:echA16	RVBD2831	echA16	NonEssential	NE	MSMEG2641	"Propanoate metabolism,Butanoate metabolism,Fatty acid degradation,""Valine, leucine and isoleucine degradation"",Lysine degradation,Phenylalanine metabolism,Tryptophan metabolism,beta-Alanine metabolism,Limonene and pinene degradation,Geraniol degradation,Benzoate degradation,Aminobenzoate degradation,Caprolactam degradation"	7	0.00116	0.01329	1.0	38	2	0	0.9357	0.98676	1.0	3932	7	-8.5467	-8.5467
RVBD3134c:RVBD3134c	RVBD3134c	RVBD3134c	NonEssential	NE	MSMEG3939		7	0.0011837	0.013746	1.0	39	1	0	0.9496	0.99283	1.0	3961	7	-9.3488	-9.3488
RVBD1448c:tal	RVBD1448c	tal	NonEssential	NE	MSMEG3102	Pentose phosphate pathway	6	0.0012146	0.014304	1.0	40	2	0	0.96779	0.99694	1.0	3993	6	-9.6625	-9.6625
RVBD3868:eccA1	RVBD3868	eccA1	NonEssential	NE	MSMEG0059		7	0.0012359	0.01433	1.0	41	3	0	0.88349	0.96048	1.0	3808	7	-7.6665	-7.6665
RVBD0365c:RVBD0365c	RVBD0365c	RVBD0365c	NonEssential	NE	MSMEG0740		7	0.0013151	0.014742	1.0	42	3	0	0.88497	0.96225	1.0	3814	7	-9.9371	-9.9371
RVBD3378c:RVBD3378c	RVBD3378c	RVBD3378c	NonEssential	NE			15	0.0013543	0.031026	1.0	43	4	0	0.84758	0.94648	1.0	3688	15	-7.8149	-7.8149
RVBD2658c:RVBD2658c	RVBD2658c	RVBD2658c	NonEssential	NE			6	0.0013809	0.016158	1.0	44	3	0	0.57242	0.63272	1.0	2559	6	-8.2725	-8.2725
RVBD1853:ureD	RVBD1853	ureD	NonEssential	NE	MSMEG3622		6	0.0014523	0.017075	1.0	45	3	0	0.86117	0.9416	1.0	3732	6	-9.1532	-9.1532
RVBD2333c:stp	RVBD2333c	stp	NonEssential	NE	MSMEG5047		19	0.0014612	0.045026	1.0	46	4	0	0.25114	0.27711	0.780442	1411	19	-6.7077	-6.7077
RVBD0858c:dapC	RVBD0858c	dapC	NonEssential	NE	MSMEG5725	Lysine biosynthesis	11	0.0014827	0.026721	1.0	47	4	0	0.65681	0.75873	1.0	2887	11	-7.7008	-7.7008
RVBD3343c:PPE54	RVBD3343c	PPE54	NonEssential	NE	MSMEG0619		56	0.001527	0.14009	1.0	48	2	0	0.022259	0.019772	0.120592	648	56	-6.0852	-6.0852
RVBD3615c:espC	RVBD3615c	espC	NonEssential	NE			41	0.0015387	0.097129	1.0	49	5	0	0.78053	0.89211	1.0	3423	41	-7.5549	-7.5549
RVBD1271c:RVBD1271c	RVBD1271c	RVBD1271c	NonEssential	NE	MSMEG3681		5	0.0015545	0.014344	1.0	50	1	0	0.90189	0.96604	1.0	3858	5	-8.5441	-8.5441
RVBD2216:RVBD2216	RVBD2216	RVBD2216	NonEssential	NE	MSMEG4284		7	0.0015822	0.01807	1.0	51	2	0	0.01635	0.0094175	0.066735	600	7	-8.618	-8.618
RVBD3005c:RVBD3005c	RVBD3005c	RVBD3005c	NonEssential	NE	MSMEG2370		7	0.0015897	0.018281	1.0	52	3	0	0.78354	0.8821	1.0	3433	7	-8.7885	-8.7885
RVBD1283c:oppB	RVBD1283c	oppB	NonEssential	NE	MSMEG4995	Quorum sensing	6	0.0015935	0.017914	1.0	53	3	0	0.80247	0.89286	1.0	3504	6	-9.9743	-9.9743
RVBD3204:RVBD3204	RVBD3204	RVBD3204	NonEssential	NE	MSMEG1939		8	0.001616	0.018982	1.0	54	3	0	0.85432	0.94383	1.0	3708	8	-9.1838	-9.1838
RVBD1879:RVBD1879	RVBD1879	RVBD1879	NonEssential	NE	MSMEG0362		13	0.0016306	0.031444	1.0	55	2	0	0.48021	0.54244	1.0	2187	13	-7.1566	-7.1566
RVBD1746:pknF	RVBD1746	pknF	NonEssential	NE	MSMEG5513		11	0.0016836	0.028323	1.0	56	3	0	0.86996	0.95749	1.0	3762	11	-8.4246	-8.4246
RVBD1363c:RVBD1363c	RVBD1363c	RVBD1363c	NonEssential	NE	MSMEG4771		6	0.0016975	0.018631	1.0	57	3	0	0.77688	0.86724	1.0	3405	6	-9.7477	-9.7477
RVBD0250c:RVBD0250c	RVBD0250c	RVBD0250c	NonEssential	NE	MSMEG0420		4	0.0017362	0.01272	1.0	58	2	0	0.94055	0.98158	1.0	3941	4	-9.8695	-9.8695
RVBD0960:RVBD0960	RVBD0960	RVBD0960	NonEssential	NE			2	0.0017734	0.0082946	1.0	59	2	0	0.96947	0.98149	1.0	3997	2	-10.65	-10.65
RVBD0235c:RVBD0235c	RVBD0235c	RVBD0235c	NonEssential	NE	MSMEG1761		23	0.0017921	0.055608	1.0	60	5	0	0.44892	0.50216	0.98874	2086	23	-7.1566	-7.1566
RVBD2032:acg	RVBD2032	acg	NonEssential	NE	MSMEG3943		12	0.0017941	0.031156	1.0	61	4	0	0.038279	0.030775	0.172995	745	12	-8.4671	-8.4671
RVBD3359:RVBD3359	RVBD3359	RVBD3359	NonEssential	NE	MSMEG1645		7	0.0018781	0.020467	1.0	62	3	0	0.92516	0.9829	1.0	3916	7	-9.4218	-9.4218
RVBD1366:RVBD1366	RVBD1366	RVBD1366	NonEssential	NE			7	0.0018887	0.02047	1.0	63	3	0	0.98848	0.99977	1.0	4011	7	-9.5985	-9.5985
RVBD3749c:RVBD3749c	RVBD3749c	RVBD3749c	NonEssential	NE			7	0.0019335	0.02047	1.0	64	3	0	0.909	0.97536	1.0	3874	7	-7.7957	-7.7957
RVBD2023A:RVBD2023A	RVBD2023A	RVBD2023A	NonEssential	N/A			3	0.00195	0.010517	1.0	65	2	0	0.94724	0.97828	1.0	3958	3	-10.65	-10.65
RVBD2250c:RVBD2250c	RVBD2250c	RVBD2250c	NonEssential	NE	MSMEG4333		6	0.0019691	0.021874	1.0	66	3	0	0.92403	0.97986	1.0	3912	6	-8.9535	-8.9535
RVBD1876:bfrA	RVBD1876	bfrA	NonEssential	GA	MSMEG3564	Porphyrin and chlorophyll metabolism	6	0.0019814	0.021874	1.0	67	2	0	0.94162	0.98709	1.0	3944	6	-8.5124	-8.5124
RVBD0316:RVBD0316	RVBD0316	RVBD0316	NonEssential	NE	MSMEG1912		7	0.002023	0.022801	1.0	68	1	0	0.45629	0.49371	0.982279	2109	7	-6.5103	-6.5103
RVBD2431c:PE25	RVBD2431c	PE25	NonEssential	NE			6	0.0020638	0.022576	1.0	69	3	0	0.97246	0.99801	1.0	4001	6	-9.4203	-9.4203
RVBD3111:moaC1	RVBD3111	moaC1	NonEssential	NE	MSMEG5703	Folate biosynthesis,Sulfur relay system	6	0.002092	0.022579	1.0	70	3	0	0.76229	0.85342	1.0	3334	6	-9.5974	-9.5974
RVBD1280c:oppA	RVBD1280c	oppA	NonEssential	NE	MSMEG4999	Quorum sensing	10	0.0021265	0.029385	1.0	71	2	0	0.020493	0.01442	0.094509	638	10	-7.2455	-7.2455
RVBD0852:fadD16	RVBD0852	fadD16	NonEssential	NE	MSMEG4772		11	0.0021475	0.033936	1.0	72	2	0	0.54924	0.632	1.0	2476	11	-7.8451	-7.8451
RVBD3617:ephA	RVBD3617	ephA	NonEssential	NE	MSMEG6106		12	0.0021591	0.036912	1.0	73	1	0	0.43956	0.48031	0.977229	2050	12	-6.9511	-6.9511
RVBD0547c:RVBD0547c	RVBD0547c	RVBD0547c	NonEssential	NE	MSMEG1073		6	0.0022023	0.027007	1.0	74	3	0	0.91904	0.97765	1.0	3898	6	-9.8184	-9.8184
RVBD1258c:RVBD1258c	RVBD1258c	RVBD1258c	NonEssential	NE			11	0.0022762	0.035156	1.0	75	3	0	0.42195	0.46532	0.964247	1982	11	-6.8906	-6.8906
RVBD2651c:RVBD2651c	RVBD2651c	RVBD2651c	NonEssential	GD			51	0.0023185	0.15501	1.0	76	4	0	0.16442	0.14925	0.549731	1171	51	-6.9102	-6.9102
RVBD3900c:RVBD3900c	RVBD3900c	RVBD3900c	NonEssential	NE			7	0.0023281	0.024621	1.0	77	1	0	0.27319	0.27704	0.780442	1477	7	-6.1497	-6.1497
