id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	385	1.6545e-92	1.1818e-06	1e-05	1	314	-0.62874	0.98742	1.0	1.0	3829	9	0.17763	-0.62874
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		108	6.843399999999999e-72	1.1818e-06	1e-05	2	103	-1.7687	1.0	1.0	1.0	4007	0	0.0	-1.7687
RVBD1479:moxR1	RVBD1479	moxR1	Essential	ES	MSMEG3147		161	1.1656000000000002e-71	1.1818e-06	1e-05	3	109	-2.0635	0.79407	0.99999	1.0	3061	6	0.13247	-2.0635
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	375	1.9916999999999998e-66	1.1818e-06	1e-05	4	298	-0.57053	0.94368	1.0	1.0	3624	7	0.19154	-0.57053
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	415	1.7003e-65	1.1818e-06	1e-05	5	261	-0.65775	0.7013	0.99996	1.0	2755	18	0.17773	-0.65775
RVBD2156c:murX	RVBD2156c	murX	Essential	ES	MSMEG4230	Peptidoglycan biosynthesis	123	6.3886e-60	1.1818e-06	1e-05	6	105	-1.7802	0.96611	1.0	1.0	3726	2	0.11783	-1.7802
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	176	6.7168000000000005e-56	1.1818e-06	1e-05	7	157	-0.72325	0.98816	1.0	1.0	3834	2	0.15589	-0.72325
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	233	1.8643e-55	1.1818e-06	1e-05	8	176	-1.0924	0.94272	1.0	1.0	3621	5	0.15458	-1.0924
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		272	2.5301999999999997e-52	1.1818e-06	1e-05	9	226	-1.098	0.9829	1.0	1.0	3808	3	0.14974	-1.098
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		111	6.5043e-50	1.1818e-06	1e-05	10	98	-1.0643	0.9975	1.0	1.0	3910	1	0.43526	-1.0643
RVBD2925c:rnc	RVBD2925c	rnc	Essential	ES	MSMEG2418		68	3.0576e-49	1.1818e-06	1e-05	11	57	-1.1901	0.9962	1.0	1.0	3895	0	0.0	-1.1901
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	223	2.2327e-47	1.1818e-06	1e-05	12	176	-0.58598	0.24532	0.99699	1.0	1230	4	0.23686	-0.58598
RVBD2201:asnB	RVBD2201	asnB	Essential	ES	MSMEG4269	"""Alanine, aspartate and glutamate metabolism"""	194	2.6623e-43	1.1818e-06	1e-05	13	129	-0.9531	0.98399	1.0	1.0	3811	5	0.12619	-0.9531
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		375	2.9587e-43	1.1818e-06	1e-05	14	285	-0.69618	0.81963	0.99999	1.0	3162	11	0.17124	-0.69618
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		196	9.5562e-43	1.1818e-06	1e-05	15	141	-1.4312	0.63849	0.99992	1.0	2568	11	0.14124	-1.4312
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		156	1.2853e-42	1.1818e-06	1e-05	16	126	-1.2842	0.88204	0.99999	1.0	3383	2	0.25994	-1.2842
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		120	2.4084e-41	1.1818e-06	1e-05	17	106	-0.79219	0.99999	1.0	1.0	3989	0	0.0	-0.79219
RVBD1166:lpqW	RVBD1166	lpqW	Essential	ES	MSMEG5130		161	2.5557e-36	1.1818e-06	1e-05	18	105	-1.3608	0.94574	1.0	1.0	3636	6	0.12433	-1.3608
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		97	5.995600000000001e-35	1.1818e-06	1e-05	19	84	-1.0505	0.089457	0.98163	1.0	672	3	0.19342	-1.0505
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	58	7.7108e-35	1.1818e-06	1e-05	20	55	-0.89661	1.0	1.0	1.0	4013	0	0.0	-0.89661
RVBD1481:RVBD1481	RVBD1481	RVBD1481	Essential	ES	MSMEG3149		126	2.7971e-33	1.1818e-06	1e-05	21	78	-0.68698	0.89199	1.0	1.0	3422	4	0.15498	-0.68698
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	163	3.4114e-33	1.1818e-06	1e-05	22	140	-1.1564	0.072943	0.97983	1.0	603	6	0.15746	-1.1564
RVBD1480:RVBD1480	RVBD1480	RVBD1480	Essential	ES	MSMEG3148		66	3.2122e-32	1.1818e-06	1e-05	23	54	-1.7379	0.6872	0.9992	1.0	2711	1	0.68123	-1.7379
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		109	4.619e-30	1.1818e-06	1e-05	24	90	-0.71016	0.94958	1.0	1.0	3651	2	0.18003	-0.71016
RVBD2145c:wag31	RVBD2145c	wag31	Essential	ES	MSMEG4217		87	6.1825e-30	1.1818e-06	1e-05	25	77	-1.1163	0.6876	0.99989	1.0	2713	1	0.6381	-1.1163
RVBD0236c:aftD	RVBD0236c	aftD	Essential	ES	MSMEG0359	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	492	7.438200000000001e-30	1.1818e-06	1e-05	26	316	-0.47718	0.38151	0.99912	1.0	1683	10	0.24392	-0.47718
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	145	1.9693e-29	1.1818e-06	1e-05	27	117	-1.5035	0.93333	1.0	1.0	3573	3	0.23012	-1.5035
RVBD0002:dnaN	RVBD0002	dnaN	Essential	ES	MSMEG0001	DNA replication,Mismatch repair,Homologous recombination	139	3.2728e-29	1.1818e-06	1e-05	28	90	-1.1005	0.38507	0.99913	1.0	1695	3	0.16071	-1.1005
RVBD3809c:glf	RVBD3809c	glf	Essential	ES	MSMEG6404	Galactose metabolism,Amino sugar and nucleotide sugar metabolism	85	3.9079e-29	1.1818e-06	1e-05	29	78	-1.1784	0.99997	1.0	1.0	3982	0	0.0	-1.1784
RVBD3436c:glmS	RVBD3436c	glmS	Essential	ES	MSMEG1568	"Amino sugar and nucleotide sugar metabolism,""Alanine, aspartate and glutamate metabolism"""	166	5.911700000000001e-29	1.1818e-06	1e-05	30	121	-1.4302	0.8162	0.99999	1.0	3153	3	0.246	-1.4302
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		98	4.8864e-28	1.1818e-06	1e-05	31	85	-1.2494	0.78745	0.99998	1.0	3042	2	0.31319	-1.2494
RVBD2228c:RVBD2228c	RVBD2228c	RVBD2228c	Essential	GD	MSMEG4305	Porphyrin and chlorophyll metabolism,DNA replication	74	6.6446999999999995e-28	1.1818e-06	1e-05	32	54	-0.78049	0.57475	0.99906	1.0	2332	3	0.1266	-0.78049
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	178	1.1211000000000001e-27	1.1818e-06	1e-05	33	132	-1.424	0.55496	0.99975	1.0	2252	8	0.16862	-1.424
RVBD1326c:glgB	RVBD1326c	glgB	Essential	ES	MSMEG4918	Starch and sucrose metabolism	225	1.3843000000000001e-27	1.1818e-06	1e-05	34	170	-0.79917	0.88503	1.0	1.0	3394	5	0.15248	-0.79917
RVBD3244c:lpqB	RVBD3244c	lpqB	Essential	ES	MSMEG1876		185	1.5539e-27	1.1818e-06	1e-05	35	128	-0.6684	0.25905	0.99723	1.0	1271	10	0.16278	-0.6684
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	271	2.6487e-26	1.1818e-06	1e-05	36	199	-0.38727	0.018222	0.91955	1.0	243	9	0.30137	-0.38727
RVBD3646c:topA	RVBD3646c	topA	Essential	ES	MSMEG6157		181	3.4463e-26	1.1818e-06	1e-05	37	131	-0.83008	0.089314	0.98381	1.0	671	6	0.25142	-0.83008
RVBD3280:accD5	RVBD3280	accD5	Essential	ES	MSMEG1813	"Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,""Valine, leucine and isoleucine degradation"""	114	3.5779e-26	1.1818e-06	1e-05	38	95	-0.87341	0.99652	1.0	1.0	3899	1	0.16781	-0.87341
RVBD2592c:ruvB	RVBD2592c	ruvB	Essential	GD	MSMEG2945	Homologous recombination	60	4.4053e-26	1.1818e-06	1e-05	39	58	-0.99825	1.0	1.0	1.0	4011	0	0.0	-0.99825
RVBD2981c:ddlA	RVBD2981c	ddlA	Essential	ES	MSMEG2395	D-Alanine metabolism,Peptidoglycan biosynthesis	123	1.0418e-24	1.1818e-06	1e-05	40	74	-1.2999	0.39239	0.99915	1.0	1722	4	0.18322	-1.2999
RVBD3783:rfbD	RVBD3783	rfbD	Essential	ES	MSMEG6369		120	1.2561e-24	1.1818e-06	1e-05	41	82	-1.0521	0.96789	1.0	1.0	3731	2	0.17828	-1.0521
RVBD3781:rfbE	RVBD3781	rfbE	Essential	ES	MSMEG6366		78	6.927e-24	1.1818e-06	1e-05	42	69	-1.17	0.26448	0.99353	1.0	1286	1	0.57662	-1.17
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		142	6.0599e-23	1.1818e-06	1e-05	43	119	-1.0739	0.99118	1.0	1.0	3853	2	0.20115	-1.0739
RVBD2245:kasA	RVBD2245	kasA	Essential	ES	MSMEG4327		83	2.5408e-21	1.1818e-06	1e-05	44	69	-0.68119	0.79151	0.99992	1.0	3054	2	0.55424	-0.68119
RVBD1094:desA2	RVBD1094	desA2	Essential	ES	MSMEG5248	Fatty acid biosynthesis,Biosynthesis of unsaturated fatty acids	66	5.4646e-20	1.1818e-06	1e-05	45	59	-0.78991	0.99438	1.0	1.0	3878	0	0.0	-0.78991
RVBD3248c:sahH	RVBD3248c	sahH	Essential	ES		Cysteine and methionine metabolism	94	6.3969e-20	1.1818e-06	1e-05	46	78	-0.69258	0.69228	0.99985	1.0	2726	1	0.33883	-0.69258
