id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	119	6.513e-57	0.043823	1.0	1	74	-2.9948	0.60696	0.22118	0.362888	2555	30	1.8045	1.8045
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	145	4.9e-52	0.043823	1.0	2	84	-2.8571	0.1216	0.0093994	0.050779	1120	35	1.8743	1.8743
RVBD3907c:pcnA	RVBD3907c	pcnA	Essential	ES	MSMEG6926	RNA degradation	92	5.192e-52	0.032257	1.0	3	54	-3.3038	0.16588	0.019139	0.085026	1279	21	2.4165	2.4165
RVBD3915:RVBD3915	RVBD3915	RVBD3915	Essential	ES	MSMEG6935		75	3.2574e-24	0.013942	1.0	4	41	-2.2201	0.18189	0.020832	0.090599	1351	21	1.7853	1.7853
RVBD1699:pyrG	RVBD1699	pyrG	Essential	ES	MSMEG3746	Pyrimidine metabolism	137	3.7002e-24	0.043823	1.0	5	62	-1.9553	0.9875	0.63822	0.733029	3791	35	1.5218	1.5218
RVBD1315:murA	RVBD1315	murA	Essential	ES	MSMEG4932	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	95	2.0168e-16	0.034815	1.0	6	43	-1.7029	0.1173	0.0086477	0.047757	1103	29	1.854	1.854
RVBD3441c:mrsA	RVBD3441c	mrsA	NonEssential	ES	MSMEG1559	Amino sugar and nucleotide sugar metabolism	53	4.3841e-15	0.0031399	1.0	7	30	-1.7252	1.0	0.99304	1.0	3999	4	1.1504	1.1504
RVBD3206c:moeB1	RVBD3206c	moeB1	Essential	ES	MSMEG1937	Sulfur relay system	79	1.4759e-14	0.017605	1.0	8	35	-1.408	0.58897	0.21831	0.360538	2510	17	1.4944	1.4944
RVBD3910:RVBD3910	RVBD3910	RVBD3910	Essential	ESD	MSMEG6929		364	1.4891e-14	0.043823	1.0	9	97	-1.5757	0.61819	0.24133	0.38369	2581	130	1.7445	1.7445
RVBD2454c:RVBD2454c	RVBD2454c	RVBD2454c	NonEssential	GD	MSMEG4645	Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism,Butanoate metabolism	80	1.7102e-12	0.017177	1.0	10	36	-1.4681	0.99999	0.9392	0.98869	3995	12	1.6052	1.6052
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		85	8.1953e-12	0.02178	1.0	11	36	-1.622	0.066934	0.0030984	0.02018	871	31	2.3527	2.3527
RVBD0405:pks6	RVBD0405	pks6	Essential	ESD	MSMEG6392		351	7.2871e-11	0.044828	1.0	12	90	-1.2389	0.97735	0.63043	0.725684	3720	116	1.5178	1.5178
RVBD2455c:RVBD2455c	RVBD2455c	RVBD2455c	NonEssential	GD	MSMEG4646	Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism,Butanoate metabolism	169	1.3082e-10	0.0451	1.0	13	49	-1.558	0.99949	0.81927	0.889119	3971	52	1.5523	1.5523
RVBD3849:espR	RVBD3849	espR	NonEssential	NE	MSMEG6431		5	1.8045e-10	1.1857e-06	0.00495	14	5	-4.0261	1.0	1.0	1.0	4000	0	0.0	-4.0261
RVBD2444c:rne	RVBD2444c	rne	Essential	ESD	MSMEG4626	RNA degradation	160	7.3026e-10	0.04932	1.0	15	39	-2.0976	0.039678	0.0029015	0.019077	719	78	1.9834	1.9834
