id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	144	1.1182e-09	1.1895e-06	0.00055	1	54	-1.0873	0.32115	0.073823	0.357686	1272	5	0.79289	-1.0873
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	82	4.8289e-08	1.1895e-06	0.00055	2	27	-1.497	0.00078721	1.1895e-06	0.000354	23	7	1.5554	1.5554
RVBD2921c:ftsY	RVBD2921c	ftsY	Essential	ES	MSMEG2424	Protein export,Bacterial secretion system,Quorum sensing	42	3.3366e-07	1.1895e-06	0.00055	3	20	-1.0686	0.1242	0.023757	0.200585	641	1	2.4115	-1.0686
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		214	5.0349e-07	1.1895e-06	0.00055	4	63	-1.0589	0.05989	0.0034601	0.061216	400	19	1.4253	-1.0589
RVBD3646c:topA	RVBD3646c	topA	Essential	ES	MSMEG6157		86	2.0211e-06	1.1895e-06	0.00055	5	33	-1.0777	0.4262	0.13922	0.477692	1616	4	0.96136	-1.0777
RVBD1459c:RVBD1459c	RVBD1459c	RVBD1459c	Essential	ESD	MSMEG3120	Lipoarabinomannan (LAM) biosynthesis	159	3.1343e-06	1.1895e-06	0.00055	6	53	-1.0659	0.33525	0.076404	0.364673	1317	10	0.97009	-1.0659
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	71	4.2513e-06	1.1895e-06	0.00055	7	28	-1.201	0.032359	0.0022207	0.050783	268	9	1.2624	-1.201
RVBD2200c:ctaC	RVBD2200c	ctaC	Essential	GD	MSMEG4268	Oxidative phosphorylation	42	5.2753e-06	3.5684e-06	0.00135	8	18	-1.5336	0.52011	0.27414	0.619086	1982	1	1.734	-1.5336
RVBD3193c:RVBD3193c	RVBD3193c	RVBD3193c	Essential	NE	MSMEG1959		18	6.4252e-06	1.1895e-06	0.00055	9	11	-0.99602	0.65564	0.34223	0.679552	2487	1	1.491	-0.99602
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		43	7.8736e-06	1.1895e-06	0.00055	10	21	-0.79326	0.91732	0.63939	0.903394	3554	1	0.88755	-0.79326
RVBD0384c:clpB	RVBD0384c	clpB	Essential	GD	MSMEG0732		107	8.5216e-06	1.0705e-05	0.003182	11	38	-1.1818	0.1649	0.035689	0.246494	787	9	1.5197	-1.1818
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	355	1.0586e-05	1.0705e-05	0.003182	12	78	-1.1939	6.2837e-06	1.1895e-06	0.000354	2	44	1.4402	1.4402
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	174	1.6956e-05	1.0705e-05	0.003182	13	53	-1.0807	0.31038	0.071758	0.356221	1237	8	1.6385	-1.0807
RVBD1223:htrA	RVBD1223	htrA	Essential	ES	MSMEG5070		20	1.7752e-05	3.5684e-06	0.00135	14	12	-0.72957	0.18999	0.089614	0.392078	863	2	1.6605	-0.72957
RVBD3048c:nrdF2	RVBD3048c	nrdF2	Essential	ES	MSMEG2313	Purine metabolism,Pyrimidine metabolism	49	2.5932e-05	4.1631e-05	0.006931	15	18	-1.407	0.10706	0.019268	0.176466	584	3	1.427	-1.407
RVBD2174:mptA	RVBD2174	mptA	Essential	ES	MSMEG4241	Lipoarabinomannan (LAM) biosynthesis	137	2.6353e-05	1.3084e-05	0.00363	16	40	-0.97167	0.93095	0.71179	0.933938	3617	5	1.3403	-0.97167
RVBD2195:qcrA	RVBD2195	qcrA	Essential	GD	MSMEG4262	Oxidative phosphorylation	35	3.1092e-05	2.9736e-05	0.005893	17	14	-1.5441	0.6004	0.348	0.681261	2277	1	1.7037	-1.5441
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	24	3.2339e-05	1.7842e-05	0.004368	18	10	-2.2404	0.35606	0.16511	0.513841	1389	2	1.1919	-2.2404
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		41	3.3921e-05	2.4978e-05	0.005472	19	18	-0.92135	0.01838	0.001419	0.038479	177	3	1.4593	-0.92135
RVBD2916c:ffh	RVBD2916c	ffh	Essential	ES	MSMEG2430	Protein export,Bacterial secretion system,Quorum sensing	55	3.7195e-05	6.7799e-05	0.009103	20	22	-1.0186	0.0034391	7.4935e-05	0.008207	58	2	2.3119	2.3119
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		52	4.7177e-05	5.1146e-05	0.007603	21	14	-1.4456	0.59443	0.3198	0.661678	2250	2	1.6166	-1.4456
RVBD3370c:dnaE2	RVBD3370c	dnaE2	NonEssential	NE	MSMEG1633		23	4.9196e-05	2.7357e-05	0.005693	22	10	-1.1037	0.91861	0.70426	0.931774	3558	0	0.0	-1.1037
RVBD1451:ctaB	RVBD1451	ctaB	Essential	GD	MSMEG3105	Oxidative phosphorylation,Porphyrin and chlorophyll metabolism	58	5.0254e-05	6.7799e-05	0.009103	23	24	-0.99526	0.7951	0.51367	0.826662	3036	2	0.98885	-0.99526
RVBD3410c:guaB3	RVBD3410c	guaB3	Essential	GD	MSMEG1603	Purine metabolism,Drug metabolism - other enzymes	68	5.2023e-05	2.4978e-05	0.005472	24	26	-1.0293	0.15043	0.032442	0.234012	743	6	0.86886	-1.0293
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		77	5.3705e-05	4.6389e-05	0.007151	25	27	-1.1486	0.049321	0.0042618	0.068463	358	8	0.9159	-1.1486
RVBD3030:RVBD3030	RVBD3030	RVBD3030	Essential	ES	MSMEG2350		33	5.7177e-05	1.7842e-05	0.004368	26	16	-0.92284	0.36003	0.17334	0.525585	1403	2	1.1859	-0.92284
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		102	6.1853e-05	5.3525e-05	0.007682	27	33	-1.0402	0.0021273	3.5684e-06	0.000825	41	6	0.88385	0.88385
RVBD3285:accA3	RVBD3285	accA3	Essential	ES	MSMEG1807	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	36	6.5617e-05	3.2115e-05	0.006076	28	16	-0.93423	0.30548	0.15829	0.504068	1216	2	1.3557	-0.93423
RVBD1770:RVBD1770	RVBD1770	RVBD1770	NonEssential	NE			10	8.3585e-05	0.00010586	0.011595	29	6	-2.5042	0.5658	0.31868	0.660534	2140	0	0.0	-2.5042
RVBD0808:purF	RVBD0808	purF	Essential	ES	MSMEG5800	"Purine metabolism,""Alanine, aspartate and glutamate metabolism"""	83	9.2823e-05	8.683e-05	0.010039	30	30	-1.1935	0.61114	0.34538	0.679664	2314	4	0.91989	-1.1935
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		42	0.00010903	3.9252e-05	0.006807	31	15	-1.0589	0.13238	0.027929	0.21223	675	1	0.67179	-1.0589
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	115	0.00011088	8.2072e-05	0.010039	32	30	-1.3943	0.095083	0.0084701	0.101849	536	9	1.0871	-1.3943
RVBD2592c:ruvB	RVBD2592c	ruvB	Essential	GD	MSMEG2945	Homologous recombination	34	0.00011563	4.401e-05	0.007045	33	13	-1.6252	0.19123	0.062861	0.329923	870	3	1.5871	-1.6252
RVBD1476:RVBD1476	RVBD1476	RVBD1476	Essential	ES	MSMEG3144		52	0.00012905	7.9693e-05	0.010039	34	16	-1.481	0.99036	0.88529	1.0	3926	0	0.0	-1.481
RVBD3105c:prfB	RVBD3105c	prfB	Essential	ES	MSMEG2086		60	0.00014489	0.00016533	0.016783	35	22	-1.019	0.47459	0.25368	0.601948	1800	2	1.1986	-1.019
RVBD1348:irtA	RVBD1348	irtA	Essential	ESD	MSMEG6554	ABC transporters	206	0.00016194	0.00012251	0.013074	36	55	-1.0351	0.23638	0.043071	0.268357	1010	16	0.81626	-1.0351
RVBD0951:sucC	RVBD0951	sucC	Essential	ES	MSMEG5525	Citrate cycle (TCA cycle),Propanoate metabolism,C5-Branched dibasic acid metabolism	93	0.00016548	8.4451e-05	0.010039	37	29	-1.271	0.28945	0.063853	0.331782	1175	5	1.2983	-1.271
RVBD2219:RVBD2219	RVBD2219	RVBD2219	Essential	GD	MSMEG4287		51	0.00018959	8.683e-05	0.010039	38	18	-0.90669	0.66042	0.38864	0.719722	2513	1	1.0805	-0.90669
RVBD3858c:gltD	RVBD3858c	gltD	Essential	ES	MSMEG6458	"Nitrogen metabolism,""Alanine, aspartate and glutamate metabolism"""	63	0.0001947	0.00012727	0.013243	39	23	-0.94103	0.34997	0.1748	0.526115	1373	4	1.0046	-0.94103
RVBD0410c:pknG	RVBD0410c	pknG	NonEssential	NE	MSMEG0786	Tuberculosis	15	0.00019649	0.00023908	0.022112	40	8	-1.4724	0.21064	0.086691	0.39072	933	1	1.9026	-1.4724
RVBD1609:trpE	RVBD1609	trpE	Essential	ES	MSMEG3217	"""Phenylalanine, tyrosine and tryptophan biosynthesis"",Quorum sensing"	95	0.00021228	0.00029855	0.025887	41	30	-0.97031	0.073168	0.006536	0.090375	457	8	1.0154	-0.97031
RVBD0896:gltA2	RVBD0896	gltA2	Essential	GD	MSMEG5672	Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism	120	0.00025556	0.00034375	0.028247	42	38	-0.95797	0.12476	0.01059	0.118799	644	9	1.5871	-0.95797
RVBD1297:rho	RVBD1297	rho	Essential	ES	MSMEG4954	RNA degradation	70	0.00027915	0.00025573	0.022646	43	16	-2.3644	0.019778	0.0012501	0.035356	188	5	2.0313	-2.3644
RVBD2783c:gpsI	RVBD2783c	gpsI	Essential	ES	MSMEG2656	RNA degradation	98	0.00029195	0.00038181	0.029428	44	30	-0.86828	0.017806	0.00047697	0.020248	171	9	1.3022	1.3022
RVBD0450c:mmpL4	RVBD0450c	mmpL4	NonEssential	NE	MSMEG3496		36	0.00031622	9.6346e-05	0.010838	45	15	-1.1063	0.25375	0.12969	0.462408	1059	3	1.0534	-1.1063
RVBD6019:23S	RVBD6019	23S	NonEssential	NA			80	0.0003173	0.00022719	0.021715	46	22	-1.39	0.56687	0.31801	0.659476	2146	2	1.1801	-1.39
RVBD6043:tRNA-Ser41	RVBD6043	tRNA-Ser41	Essential	NA			2	0.00032011	3.9252e-05	0.006807	47	2	-3.0034	0.98923	0.99607	1.0	3922	0	0.0	-3.0034
RVBD2984:ppk1	RVBD2984	ppk1	Essential	GD	MSMEG2391	Oxidative phosphorylation,RNA degradation	186	0.00037128	0.00034613	0.028247	48	51	-1.0073	0.14504	0.023835	0.200585	723	8	1.4329	-1.0073
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		26	0.00039734	0.00032472	0.027581	49	12	-1.2348	0.9077	0.69523	0.93162	3507	0	0.0	-1.2348
RVBD0482:murB	RVBD0482	murB	Essential	ES	MSMEG0928	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	30	0.00040714	0.00041274	0.031233	50	12	-1.1144	0.91323	0.67709	0.918824	3530	0	0.0	-1.1144
RVBD1308:atpA	RVBD1308	atpA	Essential	ES	MSMEG4938	Oxidative phosphorylation	54	0.0004363	0.00021529	0.021334	51	18	-1.3694	0.086407	0.015659	0.154829	507	5	1.2855	-1.3694
RVBD0652:rplL	RVBD0652	rplL	Essential	Uncertain	MSMEG1365	Ribosome	11	0.00043839	0.00035565	0.028465	52	7	-1.4597	0.019574	0.003491	0.061216	184	1	2.7036	-1.4597
RVBD3838c:pheA	RVBD3838c	pheA	Essential	ES	MSMEG6418	"""Phenylalanine, tyrosine and tryptophan biosynthesis"""	53	0.00046047	0.00022956	0.021715	53	20	-0.76464	0.44075	0.23394	0.585429	1677	3	0.80485	-0.76464
RVBD0440:groEL2	RVBD0440	groEL2	Essential	ES	MSMEG0880	RNA degradation,Tuberculosis	40	0.00046398	0.00049124	0.033842	54	9	-1.3091	0.25048	0.13732	0.472322	1052	1	2.2608	-1.3091
RVBD0408:pta	RVBD0408	pta	NonEssential	NE	MSMEG0783	Pyruvate metabolism,Propanoate metabolism,Methane metabolism,Taurine and hypotaurine metabolism	19	0.00047925	0.00037706	0.029428	55	7	-2.3805	0.54283	0.2796	0.622032	2068	1	0.85108	-2.3805
RVBD1484:inhA	RVBD1484	inhA	Essential	ES	MSMEG3151		40	0.00048112	0.000496	0.033842	56	16	-0.98881	0.43046	0.21125	0.565066	1632	2	1.2723	-0.98881
RVBD1565c:RVBD1565c	RVBD1565c	RVBD1565c	Essential	NE	MSMEG3187		22	0.00049991	0.00055072	0.034728	57	9	-1.4943	0.00045688	1.7842e-05	0.002561	15	3	2.8766	2.8766
