id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	94	3.6176e-14	1.1895e-06	0.000225	1	48	-1.1604	0.16142	0.30593	0.979834	602	1	2.2533	-1.1604
RVBD0126:treS	RVBD0126	treS	Essential	NE	MSMEG6515	Starch and sucrose metabolism	19	8.6587e-11	1.1895e-06	0.000225	2	15	-1.1575	0.95784	0.9711	1.0	3798	0	0.0	-1.1575
RVBD2196:qcrB	RVBD2196	qcrB	Essential	GD	MSMEG4263	Oxidative phosphorylation	97	4.1915e-10	1.1895e-06	0.000225	3	42	-0.94341	0.20835	0.31476	0.979834	792	1	0.80428	-0.94341
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	364	6.9868e-10	1.1895e-06	0.000225	4	116	-0.7739	0.4456	0.39981	1.0	1721	3	2.0129	-0.7739
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	194	9.9263e-10	1.1895e-06	0.000225	5	63	-1.0347	0.25279	0.32248	0.979834	967	1	2.3195	-1.0347
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		84	1.2378e-09	1.1895e-06	0.000225	6	43	-0.74957	0.99947	0.99969	1.0	3983	0	0.0	-0.74957
RVBD2194:qcrC	RVBD2194	qcrC	Essential	GD	MSMEG4261	Oxidative phosphorylation	43	5.0211e-09	1.1895e-06	0.000225	7	25	-0.94681	0.67859	0.5134	1.0	2654	0	0.0	-0.94681
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	81	8.1552e-09	1.1895e-06	0.000225	8	32	-1.1699	0.057262	0.16756	0.895378	219	2	2.225	-1.1699
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	33	1.1187e-08	1.1895e-06	0.000225	9	19	-1.2498	0.66694	0.57194	1.0	2605	0	0.0	-1.2498
RVBD0282:eccA3	RVBD0282	eccA3	Essential	ES	MSMEG0615		103	1.6651e-08	1.1895e-06	0.000225	10	45	-0.8338	0.65678	0.47154	1.0	2554	0	0.0	-0.8338
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	154	1.7849e-08	1.1895e-06	0.000225	11	62	-0.6603	0.16257	0.24696	0.964491	604	2	2.4074	-0.6603
RVBD2195:qcrA	RVBD2195	qcrA	Essential	GD	MSMEG4262	Oxidative phosphorylation	40	2.0062e-08	1.1895e-06	0.000225	12	22	-1.0094	0.23735	0.18402	0.916144	896	1	1.9135	-1.0094
RVBD2476c:gdh	RVBD2476c	gdh	NonEssential	NE	MSMEG4699	"Nitrogen metabolism,""Alanine, aspartate and glutamate metabolism"",Arginine biosynthesis,Taurine and hypotaurine metabolism"	37	2.0973e-08	1.1895e-06	0.000225	13	22	-0.63023	0.9666	0.974	1.0	3836	0	0.0	-0.63023
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		53	2.2464e-08	1.1895e-06	0.000225	14	28	-0.893	0.52621	0.33504	0.979834	2039	0	0.0	-0.893
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	125	2.3483e-08	1.1895e-06	0.000225	15	48	-0.96332	0.052553	0.10253	0.851064	201	2	2.6599	-0.96332
RVBD1326c:glgB	RVBD1326c	glgB	Essential	ES	MSMEG4918	Starch and sucrose metabolism	107	8.994e-08	1.1895e-06	0.000225	16	39	-0.96165	0.55073	0.43716	1.0	2134	0	0.0	-0.96165
RVBD1348:irtA	RVBD1348	irtA	Essential	ESD	MSMEG6554	ABC transporters	223	1.0958e-07	1.1895e-06	0.000225	17	82	-0.84752	0.020506	0.059072	0.850033	93	5	1.8393	-0.84752
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	272	1.17e-07	1.1895e-06	0.000225	18	82	-0.88584	0.53659	0.39981	1.0	2088	2	2.1051	-0.88584
RVBD2592c:ruvB	RVBD2592c	ruvB	Essential	GD	MSMEG2945	Homologous recombination	35	2.7675e-07	1.1895e-06	0.000225	19	19	-1.2244	0.35098	0.23587	0.945639	1364	0	0.0	-1.2244
RVBD2219:RVBD2219	RVBD2219	RVBD2219	Essential	GD	MSMEG4287		52	3.8269e-07	3.5684e-06	0.000594	20	24	-0.90703	0.47956	0.32983	0.979834	1852	0	0.0	-0.90703
RVBD3245c:mtrB	RVBD3245c	mtrB	Essential	GD	MSMEG1875	Two-component system	110	5.1078e-07	3.6873e-05	0.002436	21	43	-0.79232	0.19474	0.32248	0.979834	730	1	2.3205	-0.79232
RVBD1223:htrA	RVBD1223	htrA	Essential	ES	MSMEG5070		22	6.2089e-07	1.1895e-06	0.000225	22	12	-1.4083	0.9958	0.99827	1.0	3971	0	0.0	-1.4083
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	95	9.0925e-07	1.7842e-05	0.001856	23	37	-1.0269	0.59323	0.45433	1.0	2308	0	0.0	-1.0269
RVBD3646c:topA	RVBD3646c	topA	Essential	ES	MSMEG6157		89	1.1043e-06	2.9736e-05	0.002436	24	37	-0.83868	0.66419	0.49503	1.0	2593	0	0.0	-0.83868
RVBD2182c:RVBD2182c	RVBD2182c	RVBD2182c	Essential	ES	MSMEG4248	Glycerolipid metabolism,Glycerophospholipid metabolism	53	1.476e-06	8.3262e-06	0.001238	25	26	-0.71067	0.37013	0.26372	0.972818	1432	0	0.0	-0.71067
RVBD1481:RVBD1481	RVBD1481	RVBD1481	Essential	ES	MSMEG3149		106	2.0676e-06	3.6873e-05	0.002436	26	40	-0.98202	0.70851	0.53593	1.0	2792	0	0.0	-0.98202
RVBD2145c:wag31	RVBD2145c	wag31	Essential	ES	MSMEG4217		40	2.2682e-06	1.1895e-06	0.000225	27	19	-1.0489	0.97238	0.97857	1.0	3868	0	0.0	-1.0489
RVBD0482:murB	RVBD0482	murB	Essential	ES	MSMEG0928	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	31	2.3905e-06	1.1895e-06	0.000225	28	14	-0.97163	0.82484	0.81862	1.0	3255	0	0.0	-0.97163
RVBD1309:atpG	RVBD1309	atpG	Essential	ES	MSMEG4937	Oxidative phosphorylation	30	2.6415e-06	3.5684e-06	0.000594	29	15	-1.1492	0.33531	0.20608	0.926489	1299	0	0.0	-1.1492
RVBD0384c:clpB	RVBD0384c	clpB	Essential	GD	MSMEG0732		109	2.8706e-06	3.6873e-05	0.002436	30	43	-0.68732	0.35316	0.39981	1.0	1377	1	2.1846	-0.68732
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	206	3.262e-06	3.6873e-05	0.002436	31	60	-0.97701	0.0070346	0.019458	0.850033	34	2	2.8811	-0.97701
RVBD1308:atpA	RVBD1308	atpA	Essential	ES	MSMEG4938	Oxidative phosphorylation	59	3.529e-06	3.5684e-06	0.000594	32	25	-1.0223	0.22815	0.26182	0.972818	867	1	2.1311	-1.0223
RVBD2174:mptA	RVBD2174	mptA	Essential	ES	MSMEG4241	Lipoarabinomannan (LAM) biosynthesis	148	3.588e-06	3.6873e-05	0.002436	33	56	-0.67387	0.87619	0.73978	1.0	3457	0	0.0	-0.67387
RVBD0284:eccC3	RVBD0284	eccC3	Essential	ES	MSMEG0617		242	4.0762e-06	3.6873e-05	0.002436	34	82	-0.69397	0.07193	0.20853	0.926489	270	2	2.9362	-0.69397
RVBD0876c:RVBD0876c	RVBD0876c	RVBD0876c	Essential	NE	MSMEG5693		11	4.4644e-06	2.0221e-05	0.002004	35	9	-1.1741	0.59956	0.61291	1.0	2340	0	0.0	-1.1741
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	131	4.4719e-06	3.6873e-05	0.002436	36	41	-0.88016	0.97776	0.95572	1.0	3894	0	0.0	-0.88016
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		218	4.7289e-06	3.6873e-05	0.002436	37	70	-0.73499	0.79132	0.61679	1.0	3117	1	1.4116	-0.73499
