id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		165	1.0678999999999999e-38	1.1818e-06	0.000118	1	126	-2.7884	0.94024	0.98823	1.0	3845	16	0.6553	-2.7884
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		106	6.7759e-36	1.1818e-06	0.000118	2	89	-3.6261	0.99988	1.0	1.0	4008	6	0.62627	-3.6261
RVBD1547:dnaE1	RVBD1547	dnaE1	Essential	ES	MSMEG3178	DNA replication,Mismatch repair,Homologous recombination	363	2.471e-34	1.1818e-06	0.000118	3	218	-2.4492	0.63512	0.79138	0.959509	3302	85	0.63466	-2.4492
RVBD2150c:ftsZ	RVBD2150c	ftsZ	Essential	ES	MSMEG4222		78	2.2574e-31	1.1818e-06	0.000118	4	70	-3.293	0.99996	1.0	1.0	4010	5	0.54846	-3.293
RVBD0005:gyrB	RVBD0005	gyrB	Essential	ES	MSMEG0005		119	4.0297000000000005e-29	1.1818e-06	0.000118	5	89	-3.2149	0.99948	0.99999	1.0	4004	11	0.6271	-3.2149
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	303	1.6167e-27	1.1818e-06	0.000118	6	185	-2.6056	0.85214	0.9493	1.0	3711	61	0.84789	-2.6056
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		287	5.3409999999999995e-27	1.1818e-06	0.000118	7	168	-3.0974	0.97081	0.99584	1.0	3914	67	0.78065	-3.0974
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	163	5.666e-26	1.1818e-06	0.000118	8	108	-3.0819	0.81041	0.92612	1.0	3640	29	0.60795	-3.0819
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	271	1.639e-23	1.1818e-06	0.000118	9	164	-2.9358	0.9252	0.98332	1.0	3818	66	0.72082	-2.9358
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	194	3.8359999999999997e-22	1.1818e-06	0.000118	10	127	-2.5781	0.99903	0.99995	1.0	4000	33	0.70658	-2.5781
RVBD2703:sigA	RVBD2703	sigA	Essential	ES	MSMEG2758		72	3.4597e-21	1.1818e-06	0.000118	11	57	-2.855	0.95731	0.99257	1.0	3886	10	0.87321	-2.855
RVBD1111c:RVBD1111c	RVBD1111c	RVBD1111c	Essential	ESD	MSMEG5223		106	5.8124999999999996e-21	1.1818e-06	0.000118	12	73	-2.8381	0.93246	0.98576	1.0	3834	21	0.6718	-2.8381
RVBD0001:dnaA	RVBD0001	dnaA	Essential	ES	MSMEG6947	Two-component system	101	2.581e-20	1.1818e-06	0.000118	13	74	-3.2559	0.99734	0.99983	1.0	3985	11	0.70781	-3.2559
RVBD3457c:rpoA	RVBD3457c	rpoA	Essential	ES	MSMEG1524	RNA polymerase	80	3.1127e-17	1.1818e-06	0.000118	14	56	-3.2241	0.13959	0.17505	0.551747	1529	12	0.45582	-3.2241
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	180	6.3143e-17	1.1818e-06	0.000118	15	107	-2.7801	0.31349	0.41334	0.765174	2384	40	0.66524	-2.7801
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		198	1.3497e-16	1.1818e-06	0.000118	16	118	-1.6153	0.15631	0.17203	0.547441	1640	32	0.57608	-1.6153
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	188	5.8838e-16	1.1818e-06	0.000118	17	107	-3.1571	0.52101	0.66122	0.900239	3038	38	0.94395	-3.1571
RVBD0482:murB	RVBD0482	murB	Essential	ES	MSMEG0928	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	77	1.1713e-15	1.1818e-06	0.000118	18	49	-3.2642	0.71842	0.86849	0.990478	3473	14	1.0674	-3.2642
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		157	1.3866e-14	1.1818e-06	0.000118	19	95	-2.046	0.45031	0.57119	0.858441	2824	29	0.59766	-2.046
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	130	3.0997e-14	1.1818e-06	0.000118	20	83	-2.1641	1.0	1.0	1.0	4014	21	0.53533	-2.1641
RVBD2783c:gpsI	RVBD2783c	gpsI	Essential	ES	MSMEG2656	RNA degradation	222	6.4594e-14	1.1818e-06	0.000118	21	128	-2.2544	0.96235	0.99375	1.0	3898	47	0.67921	-2.2544
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		108	1.0095e-13	1.1818e-06	0.000118	22	63	-3.1042	0.96656	0.99473	1.0	3907	30	0.66714	-3.1042
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	256	3.3665e-13	1.1818e-06	0.000118	23	138	-2.5659	0.86159	0.95593	1.0	3727	69	0.93553	-2.5659
RVBD0639:nusG	RVBD0639	nusG	Essential	ES	MSMEG1345		45	3.8244e-13	1.1818e-06	0.000118	24	34	-2.8817	0.98073	0.99672	1.0	3944	8	0.73153	-2.8817
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		96	4.2039e-12	1.1818e-06	0.000118	25	59	-2.2089	0.99893	0.99994	1.0	3998	13	0.61297	-2.2089
RVBD2682c:dxs1	RVBD2682c	dxs1	Essential	ES	MSMEG2776	Thiamine metabolism,Terpenoid backbone biosynthesis	153	6.6529e-12	1.1818e-06	0.000118	26	85	-2.6955	0.59853	0.76024	0.942764	3220	37	0.7132	-2.6955
RVBD3285:accA3	RVBD3285	accA3	Essential	ES	MSMEG1807	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	114	1.5999e-11	1.1818e-06	0.000118	27	66	-3.4433	0.22045	0.26622	0.649624	1957	29	1.0678	-3.4433
RVBD1110:lytB2	RVBD1110	lytB2	Essential	ES	MSMEG5224	Terpenoid backbone biosynthesis	103	2.9252e-10	1.1818e-06	0.000118	28	58	-2.732	0.91718	0.98091	1.0	3807	25	0.72055	-2.732
RVBD3302c:glpD2	RVBD3302c	glpD2	Essential	ES	MSMEG1736	Glycerophospholipid metabolism	157	8.7472e-10	1.1818e-06	0.000118	29	80	-2.5882	0.15214	0.16879	0.54388	1614	43	0.85798	-2.5882
RVBD3051c:nrdE	RVBD3051c	nrdE	Essential	ES	MSMEG2299	Purine metabolism,Pyrimidine metabolism	176	1.0845e-09	1.1818e-06	0.000118	30	95	-2.6056	0.42118	0.53915	0.841998	2741	47	0.78807	-2.6056
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	1.2488e-09	1.1818e-06	0.000118	31	29	-2.3421	0.27156	0.38823	0.747373	2194	17	0.53581	-2.3421
RVBD0543c:RVBD0543c	RVBD0543c	RVBD0543c	Essential	ES	MSMEG1063		36	1.3464e-09	1.1818e-06	0.000118	32	24	-2.4027	0.69383	0.86633	0.988849	3430	4	0.86936	-2.4027
RVBD2201:asnB	RVBD2201	asnB	Essential	ES	MSMEG4269	"""Alanine, aspartate and glutamate metabolism"""	196	1.505e-09	1.1818e-06	0.000118	33	102	-1.2987	0.90328	0.97574	1.0	3787	45	0.6703	-1.2987
RVBD2925c:rnc	RVBD2925c	rnc	Essential	ES	MSMEG2418		68	3.1884e-09	1.1818e-06	0.000118	34	42	-2.1473	0.83397	0.94802	1.0	3678	15	0.67209	-2.1473
RVBD2165c:RVBD2165c	RVBD2165c	RVBD2165c	Essential	GD	MSMEG4235		138	3.2831e-09	1.1818e-06	0.000118	35	72	-2.6671	0.7072	0.85364	0.984503	3459	43	0.78421	-2.6671
RVBD1224:tatB	RVBD1224	tatB	Essential	GD	MSMEG5069	Protein export,Bacterial secretion system	34	4.4128e-09	1.1818e-06	0.000118	36	28	-1.8788	0.99664	0.99934	1.0	3983	3	0.8636	-1.8788
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	232	6.8121e-09	1.1818e-06	0.000118	37	117	-1.2719	0.90078	0.97524	1.0	3781	56	0.6975	-1.2719
RVBD3245c:mtrB	RVBD3245c	mtrB	Essential	GD	MSMEG1875	Two-component system	143	1.1352e-08	1.1818e-06	0.000118	38	60	-1.1597	0.92709	0.98385	1.0	3821	40	0.70279	-1.1597
RVBD0430:RVBD0430	RVBD0430	RVBD0430	Essential	ES	MSMEG0833		23	1.3399e-08	1.1818e-06	0.000118	39	17	-4.0575	0.43721	0.64176	0.889761	2785	4	0.51674	-4.0575
RVBD3048c:nrdF2	RVBD3048c	nrdF2	Essential	ES	MSMEG2313	Purine metabolism,Pyrimidine metabolism	104	4.8525e-08	1.1818e-06	0.000118	40	57	-2.7801	0.53316	0.68442	0.907208	3068	29	0.66022	-2.7801
