id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	386	1.0518999999999999e-66	1.1815e-06	2e-06	1	316	-2.4209	0.99943	1.0	1.0	3866	3	0.16103	-2.4209
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		293	1.1804000000000001e-62	1.1815e-06	2e-06	2	250	-4.1909	0.94998	0.99995	1.0	3367	2	0.24459	-4.1909
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	312	3.3861e-58	1.1815e-06	2e-06	3	280	-3.2547	1.0	1.0	1.0	3975	1	0.1229	-3.2547
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		177	9.0184e-57	1.1815e-06	2e-06	4	170	-4.2957	1.0	1.0	1.0	4011	0	0.0	-4.2957
RVBD1326c:glgB	RVBD1326c	glgB	Essential	ES	MSMEG4918	Starch and sucrose metabolism	231	5.9961e-56	1.1815e-06	2e-06	5	196	-3.7929	0.99881	1.0	1.0	3828	3	0.13426	-3.7929
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		108	1.6273e-55	1.1815e-06	2e-06	6	104	-5.006	0.81296	0.99968	1.0	2788	1	0.24728	-5.006
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	375	2.7823e-51	1.1815e-06	2e-06	7	273	-2.4134	0.38015	0.99265	1.0	1344	14	0.18303	-2.4134
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	285	3.9523e-51	1.1815e-06	2e-06	8	248	-3.4999	0.99997	1.0	1.0	3933	1	0.16027	-3.4999
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	184	8.3337e-50	1.1815e-06	2e-06	9	164	-4.2028	0.8283	0.99975	1.0	2847	5	0.18574	-4.2028
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		199	1.727e-49	1.1815e-06	2e-06	10	138	-3.1302	0.935	0.99993	1.0	3289	4	0.16825	-3.1302
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	715	2.983e-46	1.1815e-06	2e-06	11	541	-2.4274	0.64944	0.99883	1.0	2219	14	0.23286	-2.4274
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	264	1.2925e-44	1.1815e-06	2e-06	12	234	-2.1642	0.99965	1.0	1.0	3881	2	0.21781	-2.1642
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	167	7.392899999999999e-44	1.1815e-06	2e-06	13	143	-4.885	0.57828	0.99795	1.0	1997	5	0.25991	-4.885
RVBD3809c:glf	RVBD3809c	glf	Essential	ES	MSMEG6404	Galactose metabolism,Amino sugar and nucleotide sugar metabolism	88	1.1554e-42	1.1815e-06	2e-06	14	83	-4.2737	0.9998	1.0	1.0	3897	0	0.0	-4.2737
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		101	8.121700000000001e-41	1.1815e-06	2e-06	15	93	-4.2247	0.99431	1.0	1.0	3711	0	0.0	-4.2247
