id,Counts_1st,Counts_2nd,Counts_3rd,Counts_4th,Total_Counts,Uniprot_id_gene,Uniprot_entry,pldt_score
RVBD3596c:clpC1,9,8,11,8,36,RV3596c,P9WPC9,82.72406768798828
RVBD1828:RVBD1828,10,5,13,6,34,RV1828,P9WME7,83.6622314453125
RVBD0430:RVBD0430,10,7,10,7,34,RV0430,P96276,75.1827392578125
RVBD2093c:tatC,7,7,11,7,32,RV2093c,P9WG97,83.05223846435547
RVBD0732:secY,10,6,9,7,32,RV0732,P9WGN3,74.1700210571289
RVBD0668:rpoC,8,5,12,7,32,RV0668,P9WGY7,88.39871978759766
RVBD1697:RVBD1697,7,6,11,7,31,RV1697,O33198,88.3404312133789
RVBD0482:murB,10,7,7,7,31,RV0482,P9WJL9,93.93362426757812
RVBD0014c:pknB,8,8,8,7,31,RV0014c,P9WI81,84.32803344726562
RVBD2150c:ftsZ,9,6,11,5,31,RV2150c,P9WN95,81.90878295898438
RVBD0206c:mmpL3,9,4,10,7,30,RV0206c,P9WJV5,78.99099731445312
RVBD3808c:glfT2,8,5,10,7,30,RV3808c,O53585,93.87205505371094
RVBD3246c:mtrA,8,6,11,5,30,RV3246c,P9WGM7,92.35977935791016
RVBD2925c:rnc,7,6,11,6,30,RV2925c,P9WH03,90.70362854003906
RVBD3645:RVBD3645,6,6,11,6,29,RV3645,I6X7Z3,86.33210754394531
RVBD1480:RVBD1480,8,7,9,5,29,RV1480,P9WLX5,84.8407211303711
RVBD0667:rpoB,8,5,10,6,29,RV0667,P9WGY9,91.20294952392578
RVBD0058:dnaB,7,6,11,5,29,RV0058,P9WMR3,81.20580291748047
RVBD1302:rfe,7,6,11,5,29,RV1302,P9WMW5,81.19029235839844
RVBD0227c:RVBD0227c,9,5,8,7,29,RV0227c,P96409,85.53106689453125
RVBD2165c:RVBD2165c,9,6,8,5,28,RV2165c,P9WJP1,82.420654296875
RVBD3240c:secA1,9,4,10,5,28,RV3240c,P9WGP5,83.25385284423828
RVBD0015c:pknA,8,7,8,5,28,RV0015c,P9WI83,76.99836730957031
RVBD2200c:ctaC,7,4,11,6,28,RV2200c,P9WP69,90.11170196533203
RVBD0005:gyrB,9,8,7,4,28,RV0005,P9WG45,88.55223846435547
RVBD3043c:ctaD,6,4,12,6,28,RV3043c,P9WP71,94.57856750488281
RVBD1223:htrA,6,5,12,5,28,RV1223,O06291,78.79134368896484
RVBD3048c:nrdF2,7,6,9,5,27,RV3048c,P9WH71,90.8703384399414
RVBD2969c:RVBD2969c,9,6,9,3,27,RV2969c,O33272,90.67266845703125
RVBD3285:accA3,7,5,8,6,26,RV3285,P96890,88.29661560058594
RVBD3583c:RVBD3583c,8,5,9,4,26,RV3583c,P9WJG3,90.42222595214844
RVBD2361c:RVBD2361c,6,6,10,4,26,RV2361c,P9WFF7,93.53540802001953
RVBD2460c:clpP2,9,6,9,2,26,RV2460c,P9WPC3,92.52617645263672
RVBD0006:gyrA,9,7,6,4,26,RV0006,P9WG47,88.58765411376953
RVBD0001:dnaA,8,3,10,5,26,RV0001,P9WNW3,81.20765686035156
RVBD0903c:prrA,7,4,11,4,26,RV0903c,P9WGM1,89.39982604980469
RVBD2145c:wag31,7,6,9,4,26,RV2145c,P9WMU1,83.39811706542969
RVBD0638:secE1,7,6,7,5,25,RV0638,P9WGN7,64.67633819580078
RVBD1111c:RVBD1111c,6,4,9,6,25,RV1111c,O86351,52.06822204589844
RVBD0543c:RVBD0543c,7,5,8,5,25,RV0543c,O06409,80.71881103515625
RVBD3809c:glf,6,5,9,5,25,RV3809c,P9WIQ1,95.08711242675781
RVBD2926c:RVBD2926c,9,4,8,4,25,RV2926c,P9WL17,86.04801940917969
RVBD2182c:RVBD2182c,6,4,9,6,25,RV2182c,O53516,85.26736450195312
RVBD1830:RVBD1830,6,6,8,5,25,RV1830,P9WME5,77.21186828613281
RVBD3783:rfbD,8,4,8,4,24,RV3783,P72049,90.8611831665039
RVBD0002:dnaN,7,4,8,5,24,RV0002,P9WNU1,91.94042205810547
RVBD2846c:efpA,5,6,9,4,24,RV2846c,P9WJY5,85.48052978515625
RVBD2201:asnB,6,6,8,4,24,RV2201,P9WN33,92.88099670410156
RVBD3051c:nrdE,8,4,8,4,24,RV3051c,P9WH75,92.30706787109375
RVBD2783c:gpsI,6,5,8,5,24,RV2783c,P9WI57,90.76472473144531
RVBD0383c:RVBD0383c,7,3,9,5,24,RV0383c,O53718,79.38524627685547
RVBD1477:ripA,7,4,9,4,24,RV1477,O53168,83.24695587158203
RVBD1708:RVBD1708,7,5,7,5,24,RV1708,P9WLT1,87.12496948242188
RVBD2968c:RVBD2968c,7,6,8,3,24,RV2968c,I6X5W1,85.63162231445312
RVBD2195:qcrA,6,6,8,4,24,RV2195,P9WH23,88.74690246582031
RVBD3457c:rpoA,6,5,9,4,24,RV3457c,P9WGZ1,85.52227783203125
RVBD3245c:mtrB,6,5,9,4,24,RV3245c,P9WGK9,83.5311279296875
RVBD0639:nusG,6,6,7,5,24,RV0639,P9WIU9,76.86902618408203
RVBD1311:atpC,8,4,8,4,24,RV1311,P9WPV1,94.4989242553711
RVBD3778c:RVBD3778c,7,5,8,4,24,RV3778c,P9WQ67,96.38720703125
RVBD2196:qcrB,6,5,9,4,24,RV2196,P9WP37,94.81192779541016
RVBD0431:RVBD0431,7,5,7,4,23,RV0431,P96277,68.81097412109375
RVBD0529:ccsA,7,5,8,3,23,RV0529,O06393,85.77198028564453
RVBD1023:eno,8,6,7,2,23,RV1023,P9WNL1,96.66244506835938
RVBD3781:rfbE,7,5,8,3,23,RV3781,P72047,88.70355224609375
RVBD0716:rplE,7,7,5,4,23,RV0716,P9WH83,91.38802337646484
RVBD2927c:RVBD2927c,8,2,7,6,23,RV2927c,P9WL15,92.12799835205078
RVBD3859c:gltB,6,4,9,4,23,RV3859c,P96218,93.02359771728516
RVBD1436:gap,6,4,8,5,23,RV1436,P9WN83,97.61896514892578
RVBD2194:qcrC,7,4,9,3,23,RV2194,P9WP35,88.61378479003906
RVBD3801c:fadD32,5,5,8,5,23,RV3801c,O53580,89.30545043945312
RVBD1547:dnaE1,8,5,6,4,23,RV1547,P9WNT7,89.38251495361328
