id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD1547:dnaE1	RVBD1547	dnaE1	Essential	ES	MSMEG3178	DNA replication,Mismatch repair,Homologous recombination	372	3.1273e-126	1.1815e-06	6.2e-05	1	150	-1.2047	0.77496	0.66821	1.0	2523	4	0.5704	-1.2047
RVBD0005:gyrB	RVBD0005	gyrB	Essential	ES	MSMEG0005		120	1.732e-119	1.1815e-06	6.2e-05	2	85	-1.5652	1.0	1.0	1.0	4013	0	0.0	-1.5652
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		175	1.3202e-109	1.1815e-06	6.2e-05	3	107	-1.164	0.079259	0.21656	1.0	249	1	1.1077	-1.164
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		199	7.736199999999999e-102	1.1815e-06	6.2e-05	4	109	-1.0348	0.41278	0.48171	1.0	1079	1	0.75484	-1.0348
RVBD2150c:ftsZ	RVBD2150c	ftsZ	Essential	ES	MSMEG4222		79	3.8448e-94	1.1815e-06	6.2e-05	5	67	-1.8877	1.0	1.0	1.0	4014	0	0.0	-1.8877
RVBD1783:eccC5	RVBD1783	eccC5	Essential	GD	MSMEG0062		366	5.1627e-59	1.1815e-06	6.2e-05	6	114	-0.57341	0.85685	0.7197	1.0	2985	1	0.66721	-0.57341
RVBD2748c:ftsK	RVBD2748c	ftsK	Essential	ES	MSMEG2690		226	3.4480999999999997e-50	1.1815e-06	6.2e-05	7	75	-1.2141	0.97173	0.93122	1.0	3720	1	0.48361	-1.2141
RVBD1795:eccD5	RVBD1795	eccD5	Essential	GD			203	1.1637e-47	1.1815e-06	6.2e-05	8	78	-0.62348	0.94503	0.87322	1.0	3544	1	0.43897	-0.62348
RVBD0284:eccC3	RVBD0284	eccC3	Essential	ES	MSMEG0617		393	1.6483999999999998e-40	1.1815e-06	6.2e-05	9	98	-0.64264	0.40203	0.48171	1.0	1042	2	0.77942	-0.64264
RVBD3051c:nrdE	RVBD3051c	nrdE	Essential	ES	MSMEG2299	Purine metabolism,Pyrimidine metabolism	182	2.0378e-39	1.1815e-06	6.2e-05	10	56	-1.155	0.1211	0.27114	1.0	329	4	0.65293	-1.155
RVBD0001:dnaA	RVBD0001	dnaA	Essential	ES	MSMEG6947	Two-component system	105	4.3996e-36	1.1815e-06	6.2e-05	11	48	-0.92084	0.75206	0.66821	1.0	2397	1	0.49316	-0.92084
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		108	1.4847000000000001e-33	1.1815e-06	6.2e-05	12	47	-0.69424	0.99976	0.99972	1.0	3985	0	0.0	-0.69424
RVBD2165c:RVBD2165c	RVBD2165c	RVBD2165c	Essential	GD	MSMEG4235		139	4.4553e-33	1.1815e-06	6.2e-05	13	40	-1.3295	0.63036	0.53146	1.0	1882	2	0.48025	-1.3295
RVBD1782:eccB5	RVBD1782	eccB5	Essential	GD	MSMEG0616		109	8.3828e-32	1.1815e-06	6.2e-05	14	46	-0.63128	0.62585	0.53146	1.0	1860	1	0.70615	-0.63128
RVBD2147c:RVBD2147c	RVBD2147c	RVBD2147c	Essential	ES	MSMEG4219		45	2.0749e-31	1.1815e-06	6.2e-05	15	22	-1.7428	0.25178	0.26639	1.0	621	1	0.4866	-1.7428
RVBD3260c:whiB2	RVBD3260c	whiB2	Essential	ES	MSMEG1831		32	1.3799e-29	1.1815e-06	6.2e-05	16	19	-2.9024	0.85098	0.80219	1.0	2947	0	0.0	-2.9024
RVBD2592c:ruvB	RVBD2592c	ruvB	Essential	GD	MSMEG2945	Homologous recombination	61	2.69e-28	1.1815e-06	6.2e-05	17	32	-0.70922	0.99912	0.99937	1.0	3970	0	0.0	-0.70922
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	195	1.1313000000000001e-27	1.1815e-06	6.2e-05	18	51	-1.2038	0.83514	0.71969	1.0	2849	2	0.4783	-1.2038
RVBD2927c:RVBD2927c	RVBD2927c	RVBD2927c	Essential	ES	MSMEG2416		44	3.239e-25	1.1815e-06	6.2e-05	19	19	-1.4216	0.98796	0.98826	1.0	3869	0	0.0	-1.4216
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	168	3.4895e-25	1.1815e-06	6.2e-05	20	50	-0.76322	0.061978	0.17913	1.0	219	2	0.80213	-0.76322
RVBD2703:sigA	RVBD2703	sigA	Essential	ES	MSMEG2758		74	2.8775e-23	1.1815e-06	6.2e-05	21	32	-0.74364	0.99431	0.9908	1.0	3924	0	0.0	-0.74364
RVBD0018c:pstP	RVBD0018c	pstP	Essential	ESD	MSMEG0033		175	2.933e-22	1.1815e-06	6.2e-05	22	45	-0.70729	0.98675	0.95774	1.0	3856	0	0.0	-0.70729
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	192	2.9076e-20	1.1815e-06	6.2e-05	23	40	-0.90668	1.3873e-07	2.0086e-05	0.003117	25	16	0.47611	-0.90668
RVBD0286:PPE4	RVBD0286	PPE4	Essential	ES	MSMEG0619		144	4.0070000000000004e-20	1.1815e-06	6.2e-05	24	41	-0.65045	0.99672	0.99067	1.0	3942	0	0.0	-0.65045
RVBD1827:garA	RVBD1827	garA	Essential	GD	MSMEG3647		67	3.5603e-19	1.1815e-06	6.2e-05	25	27	-0.75591	0.89319	0.82146	1.0	3204	0	0.0	-0.75591
RVBD0482:murB	RVBD0482	murB	Essential	ES	MSMEG0928	Amino sugar and nucleotide sugar metabolism,Peptidoglycan biosynthesis	78	2.0944e-17	1.1815e-06	6.2e-05	26	28	-0.78146	0.94124	0.87758	1.0	3515	0	0.0	-0.78146
RVBD0824c:desA1	RVBD0824c	desA1	Essential	ES	MSMEG5773	Fatty acid biosynthesis,Biosynthesis of unsaturated fatty acids	58	5.5941e-15	1.1815e-06	6.2e-05	27	22	-0.60045	0.54158	0.45456	1.0	1500	1	0.43154	-0.60045
RVBD2166c:RVBD2166c	RVBD2166c	RVBD2166c	Essential	NE	MSMEG4236		6	6.7701e-14	1.1815e-06	6.2e-05	28	6	-2.5736	1.0	1.0	1.0	4015	0	0.0	-2.5736
RVBD1796:mycP5	RVBD1796	mycP5	Essential	GD	MSMEG0624		151	8.509e-14	1.1815e-06	6.2e-05	29	34	-0.59739	0.98694	0.95774	1.0	3861	0	0.0	-0.59739
RVBD0282:eccA3	RVBD0282	eccA3	Essential	ES	MSMEG0615		163	2.4171e-13	1.1815e-06	6.2e-05	30	35	-0.63228	0.99933	0.99891	1.0	3977	0	0.0	-0.63228
RVBD0283:eccB3	RVBD0283	eccB3	Essential	ES	MSMEG0616		156	9.5878e-13	1.1815e-06	6.2e-05	31	33	-0.67263	0.9667	0.9223	1.0	3683	0	0.0	-0.67263
RVBD3053c:nrdH	RVBD3053c	nrdH	Essential	ES	MSMEG2297		12	1.3457e-12	1.1815e-06	6.2e-05	32	9	-1.4215	0.99979	0.99999	1.0	3988	0	0.0	-1.4215
RVBD1461:RVBD1461	RVBD1461	RVBD1461	Essential	ES	MSMEG3122		169	2.7807e-11	1.1815e-06	6.2e-05	33	32	-0.65277	0.76232	0.66821	1.0	2453	1	0.65577	-0.65277
RVBD3792:aftA	RVBD3792	aftA	Essential	ES	MSMEG6386	Arabinogalactan biosynthesis - Mycobacterium	231	3.5661e-11	1.1815e-06	6.2e-05	34	38	-0.58756	0.99996	0.99997	1.0	3998	0	0.0	-0.58756
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	386	3.9765e-11	1.1815e-06	6.2e-05	35	53	-0.57034	0.80455	0.70252	1.0	2668	1	0.73567	-0.57034
RVBD3048c:nrdF2	RVBD3048c	nrdF2	Essential	ES	MSMEG2313	Purine metabolism,Pyrimidine metabolism	106	4.4698e-11	1.1815e-06	6.2e-05	36	20	-1.0409	0.87751	0.7362	1.0	3106	0	0.0	-1.0409
RVBD1094:desA2	RVBD1094	desA2	Essential	ES	MSMEG5248	Fatty acid biosynthesis,Biosynthesis of unsaturated fatty acids	68	6.0074e-11	1.1815e-06	6.2e-05	37	20	-0.5766	0.39566	0.38704	1.0	1023	1	0.66648	-0.5766
RVBD0883c:RVBD0883c	RVBD0883c	RVBD0883c	Essential	ES	MSMEG5685		66	1.0387e-10	1.1815e-06	6.2e-05	38	14	-1.0765	0.90121	0.82286	1.0	3250	0	0.0	-1.0765
RVBD1797:eccE5	RVBD1797	eccE5	Essential	GD			72	1.8097e-10	1.1815e-06	6.2e-05	39	19	-0.65646	0.99953	0.99957	1.0	3979	0	0.0	-0.65646
RVBD0951:sucC	RVBD0951	sucC	Essential	ES	MSMEG5525	Citrate cycle (TCA cycle),Propanoate metabolism,C5-Branched dibasic acid metabolism	103	9.8018e-10	1.1815e-06	6.2e-05	40	23	-0.61202	0.99921	0.99868	1.0	3974	0	0.0	-0.61202
RVBD2594c:ruvC	RVBD2594c	ruvC	Essential	GD	MSMEG2943	Homologous recombination	27	2.0166e-09	1.1815e-06	6.2e-05	41	12	-0.71116	0.91521	0.91536	1.0	3332	0	0.0	-0.71116
