id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3859c:gltB	RVBD3859c	gltB	Essential	ES	MSMEG6459	"Nitrogen metabolism,""Alanine, aspartate and glutamate metabolism"""	399	8.5116e-100	1.1815e-06	4e-06	1	377	-2.6714	0.99995	1.0	1.0	3925	1	0.58257	-2.6714
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		293	1.0562e-93	1.1815e-06	4e-06	2	230	-4.8902	0.99978	1.0	1.0	3900	2	0.50086	-4.8902
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	168	1.1713e-86	1.1815e-06	4e-06	3	149	-5.421	0.97419	1.0	1.0	3628	1	0.54587	-5.421
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	714	8.8601e-79	1.1815e-06	4e-06	4	579	-3.4277	0.67866	0.99996	1.0	2619	4	0.9306	-3.4277
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	183	2.1714e-77	1.1815e-06	4e-06	5	166	-4.5531	0.99996	1.0	1.0	3932	0	0.0	-4.5531
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	264	2.91e-71	1.1815e-06	4e-06	6	249	-3.3968	0.99853	1.0	1.0	3848	2	0.61512	-3.3968
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		175	2.4265e-63	1.1815e-06	4e-06	7	169	-4.6526	0.99996	1.0	1.0	3933	0	0.0	-4.6526
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		108	6.2653e-60	1.1815e-06	4e-06	8	104	-4.9414	0.98943	1.0	1.0	3725	1	0.37076	-4.9414
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		352	9.2012e-58	1.1815e-06	4e-06	9	293	-3.1437	0.95421	1.0	1.0	3524	4	0.47479	-3.1437
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	192	6.3464e-55	1.1815e-06	4e-06	10	148	-4.616	0.199	0.99699	1.0	1030	9	0.57099	-4.616
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	2.7765e-53	1.1815e-06	4e-06	11	51	-6.1579	0.61276	0.99731	1.0	2409	1	0.73764	-6.1579
RVBD3801c:fadD32	RVBD3801c	fadD32	Essential	ES	MSMEG6393		180	5.1147e-53	1.1815e-06	4e-06	12	141	-4.6479	1.0	1.0	1.0	3965	0	0.0	-4.6479
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		388	4.4822e-51	1.1815e-06	4e-06	13	311	-3.5678	0.8978	1.0	1.0	3333	4	0.51128	-3.5678
