id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD0721:rpsE	RVBD0721	rpsE	Essential	ES	MSMEG1472	Ribosome	1	0.0014925	4.9803e-06	1.1e-05	1	1	-8.3479	0.99851	1.0	1.0	288	0	0.0	-8.3479
RVBD1384:carB	RVBD1384	carB	Essential	ES	MSMEG3047	"Pyrimidine metabolism,""Alanine, aspartate and glutamate metabolism"""	3	0.0058902	4.9803e-06	1.1e-05	2	3	-4.7753	0.99411	1.0	1.0	287	0	0.0	-4.7753
RVBD0384c:clpB	RVBD0384c	clpB	Essential	GD	MSMEG0732		1	0.0074627	4.9803e-06	1.1e-05	3	1	-7.6934	0.99254	1.0	1.0	286	0	0.0	-7.6934
RVBD0284:eccC3	RVBD0284	eccC3	Essential	ES	MSMEG0617		2	0.0089352	4.9803e-06	1.1e-05	4	2	-5.411	0.94785	1.0	1.0	273	0	0.0	-5.411
RVBD1110:lytB2	RVBD1110	lytB2	Essential	ES	MSMEG5224	Terpenoid backbone biosynthesis	1	0.010448	4.9803e-06	1.1e-05	5	1	-6.6444	0.98955	1.0	1.0	285	0	0.0	-6.6444
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	1	0.019403	4.9803e-06	1.1e-05	6	1	-5.5147	0.9806	1.0	1.0	284	0	0.0	-5.5147
RVBD1605:hisF	RVBD1605	hisF	Essential	ES	MSMEG3211	Histidine metabolism	1	0.022388	4.9803e-06	1.1e-05	7	1	-5.3925	0.97761	1.0	1.0	283	0	0.0	-5.3925
RVBD0943c:RVBD0943c	RVBD0943c	RVBD0943c	NonEssential	NE	MSMEG5549		1	0.025373	4.9803e-06	1.1e-05	8	1	-5.341	0.97463	1.0	1.0	282	0	0.0	-5.341
RVBD3455c:truA	RVBD3455c	truA	NonEssential	GD	MSMEG1527		1	0.028358	4.9803e-06	1.1e-05	9	1	-5.1408	0.97164	1.0	1.0	281	0	0.0	-5.1408
RVBD2139:pyrD	RVBD2139	pyrD	Essential	ES	MSMEG4198	Pyrimidine metabolism	1	0.031343	4.9803e-06	1.1e-05	10	1	-5.1512	0.96866	1.0	1.0	280	0	0.0	-5.1512
RVBD1044:RVBD1044	RVBD1044	RVBD1044	NonEssential	ES			2	0.032566	4.9803e-06	1.1e-05	11	1	-3.3526	0.6237	0.8891	1.0	182	0	0.0	-3.3526
RVBD1630:rpsA	RVBD1630	rpsA	Essential	ES	MSMEG3833	Ribosome	1	0.034328	4.9803e-06	1.1e-05	12	1	-5.1324	0.96567	1.0	1.0	279	0	0.0	-5.1324
RVBD0982:mprB	RVBD0982	mprB	Essential	ES	MSMEG5487	Two-component system	1	0.037313	4.9803e-06	1.1e-05	13	1	-5.0571	0.96269	1.0	1.0	278	0	0.0	-5.0571
RVBD1631:coaE	RVBD1631	coaE	Essential	GD	MSMEG2076	Pantothenate and CoA biosynthesis	1	0.040299	4.9803e-06	1.1e-05	14	1	-5.0689	0.9597	1.0	1.0	277	0	0.0	-5.0689
RVBD1477:ripA	RVBD1477	ripA	Essential	ESD	MSMEG3145		1	0.043284	4.9803e-06	1.1e-05	15	1	-5.04	0.95672	1.0	1.0	276	0	0.0	-5.04
RVBD6003:tRNA-Gly4	RVBD6003	tRNA-Gly4	Essential	NA			1	0.046269	4.9803e-06	1.1e-05	16	1	-4.9195	0.95373	1.0	1.0	275	0	0.0	-4.9195
