id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	93	3.1315e-18	1.1895e-06	9.3e-05	1	54	-1.1034	0.01494	0.026231	0.754224	94	4	2.2354	-1.1034
RVBD0126:treS	RVBD0126	treS	Essential	NE	MSMEG6515	Starch and sucrose metabolism	19	1.3159e-15	1.1895e-06	9.3e-05	2	16	-2.2125	0.99995	0.99996	1.0	3986	0	0.0	-2.2125
RVBD2196:qcrB	RVBD2196	qcrB	Essential	GD	MSMEG4263	Oxidative phosphorylation	99	9.9929e-15	1.1895e-06	9.3e-05	3	51	-1.3068	0.97789	0.93613	1.0	3854	0	0.0	-1.3068
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	33	1.8683e-14	1.1895e-06	9.3e-05	4	27	-1.4894	0.68565	0.58293	1.0	2554	0	0.0	-1.4894
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	270	2.1578e-14	1.1895e-06	9.3e-05	5	99	-1.1776	0.6721	0.61472	1.0	2504	6	1.305	-1.1776
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	79	2.6356e-13	1.1895e-06	9.3e-05	6	45	-0.92896	0.19236	0.26019	0.977906	746	2	1.9971	-0.92896
RVBD3193c:RVBD3193c	RVBD3193c	RVBD3193c	Essential	NE	MSMEG1959		19	2.5207e-11	1.1895e-06	9.3e-05	7	16	-1.8521	0.97328	0.97348	1.0	3831	0	0.0	-1.8521
RVBD1223:htrA	RVBD1223	htrA	Essential	ES	MSMEG5070		22	4.0239e-11	1.1895e-06	9.3e-05	8	17	-1.5001	0.88862	0.86599	1.0	3389	0	0.0	-1.5001
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		84	7.8451e-11	1.1895e-06	9.3e-05	9	40	-1.5395	0.0662	0.14601	0.931817	319	4	1.7865	-1.5395
RVBD0529:ccsA	RVBD0529	ccsA	Essential	ES	MSMEG0974		76	1.0877e-10	1.1895e-06	9.3e-05	10	29	-1.8495	0.87654	0.7581	1.0	3333	1	0.87643	-1.8495
