id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	93	1.1956e-09	1.1895e-06	0.00019	1	38	-0.85425	0.0063766	0.0067454	0.445003	51	4	2.3834	-0.85425
RVBD2196:qcrB	RVBD2196	qcrB	Essential	GD	MSMEG4263	Oxidative phosphorylation	99	1.3974e-08	1.1895e-06	0.00019	2	37	-0.99523	0.88534	0.84243	1.0	3410	0	0.0	-0.99523
RVBD3859c:gltB	RVBD3859c	gltB	Essential	ES	MSMEG6459	"Nitrogen metabolism,""Alanine, aspartate and glutamate metabolism"""	120	1.403e-08	1.1895e-06	0.00019	3	45	-0.99523	8.1801e-05	6.7799e-05	0.141089	2	8	2.149	-0.99523
RVBD2241:aceE	RVBD2241	aceE	Essential	NE	MSMEG4323	Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism	30	1.8482e-07	1.1895e-06	0.00019	4	18	-0.76587	0.75187	0.68372	1.0	2776	0	0.0	-0.76587
RVBD2916c:ffh	RVBD2916c	ffh	Essential	ES	MSMEG2430	Protein export,Bacterial secretion system,Quorum sensing	60	2.2057e-07	1.1895e-06	0.00019	5	28	-0.59245	0.82797	0.74179	1.0	3163	0	0.0	-0.59245
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		218	2.844e-07	1.1895e-06	0.00019	6	70	-0.68424	0.042668	0.039807	0.715397	221	4	2.1814	-0.68424
RVBD1796:mycP5	RVBD1796	mycP5	Essential	GD	MSMEG0624		113	2.0986e-06	1.1895e-06	0.00019	7	34	-1.1246	0.075929	0.078524	0.8355	335	3	1.5714	-1.1246
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	33	2.4712e-06	1.1895e-06	0.00019	8	15	-1.4032	0.82823	0.76369	1.0	3166	0	0.0	-1.4032
RVBD2194:qcrC	RVBD2194	qcrC	Essential	GD	MSMEG4261	Oxidative phosphorylation	43	2.8565e-06	1.1895e-06	0.00019	9	18	-1.0775	0.0028986	0.0031937	0.350732	27	4	1.9559	-1.0775
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	364	3.2702e-06	1.1895e-06	0.00019	10	102	-0.7601	0.094529	0.14717	0.953416	399	7	2.0072	-0.7601
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		52	3.8214e-06	1.1895e-06	0.00019	11	21	-0.79936	0.0033892	0.0046781	0.365145	34	4	2.0746	-0.79936
