id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	377	1.2481e-78	1.1823e-06	4e-06	1	306	-2.0096	0.99839	1.0	1.0	3852	0	0.0	-2.0096
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		118	9.7944e-67	1.1823e-06	4e-06	2	116	-2.5944	1.0	1.0	1.0	4012	0	0.0	-2.5944
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	415	2.2286e-65	1.1823e-06	4e-06	3	289	-2.2161	0.9998	1.0	1.0	3921	0	0.0	-2.2161
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	367	2.8544e-57	1.1823e-06	4e-06	4	266	-2.096	0.98391	1.0	1.0	3667	1	0.39738	-2.096
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	221	4.5542e-48	1.1823e-06	4e-06	5	172	-2.3433	0.80764	0.99012	1.0	2970	1	0.4483	-2.3433
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	201	7.178999999999999e-45	1.1823e-06	4e-06	6	173	-1.9045	0.17952	0.73614	1.0	694	2	0.78252	-1.9045
RVBD2984:ppk1	RVBD2984	ppk1	Essential	GD	MSMEG2391	Oxidative phosphorylation,RNA degradation	232	7.8076e-42	1.1823e-06	4e-06	7	194	-1.2607	0.99264	1.0	1.0	3752	0	0.0	-1.2607
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	534	2.5565e-37	1.1823e-06	4e-06	8	367	-1.5899	0.84374	0.99515	1.0	3076	2	0.74274	-1.5899
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		96	6.0886e-37	1.1823e-06	4e-06	9	89	-2.6188	0.98321	1.0	1.0	3660	0	0.0	-2.6188
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	266	8.8033e-37	1.1823e-06	4e-06	10	199	-1.8399	0.49377	0.91047	1.0	1877	2	0.52856	-1.8399
RVBD2174:mptA	RVBD2174	mptA	Essential	ES	MSMEG4241	Lipoarabinomannan (LAM) biosynthesis	196	1.8893e-35	1.1823e-06	4e-06	11	134	-2.0887	0.38464	0.87993	1.0	1462	3	0.5734	-2.0887
