id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3114:RVBD3114	RVBD3114	RVBD3114	NonEssential	NE	MSMEG3575		6	2.0333e-07	1.0646e-05	0.044554	1	5	0	0.93556	0.98644	1.0	3937	6	-10.711	0.0
RVBD1896c:RVBD1896c	RVBD1896c	RVBD1896c	NonEssential	NE	MSMEG0614		8	3.9897e-06	0.0002283	0.477723	2	5	0	0.016207	0.013065	0.08412	612	8	-10.421	-10.421
RVBD0247c:RVBD0247c	RVBD0247c	RVBD0247c	NonEssential	NE	MSMEG0417	Citrate cycle (TCA cycle),Butanoate metabolism,Oxidative phosphorylation	8	3.152e-05	0.0010611	1.0	3	4	0	0.82439	0.92833	1.0	3605	8	-9.4891	-9.4891
RVBD2501c:accA1	RVBD2501c	accA1	NonEssential	NE	MSMEG4716	"Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Fatty acid biosynthesis,""Valine, leucine and isoleucine degradation"""	7	3.913e-05	0.0010658	1.0	4	1	0	0.64067	0.7354	1.0	2836	7	-8.6646	-8.6646
RVBD1047:RVBD1047	RVBD1047	RVBD1047	NonEssential	NE	MSMEG4154		19	4.6377e-05	0.0043543	1.0	5	5	0	0.034577	0.020719	0.120595	758	19	-9.0388	-9.0388
RVBD0156:pntAb	RVBD0156	pntAb	NonEssential	Uncertain	MSMEG0151	Nicotinate and nicotinamide metabolism	9	9.7284e-05	0.0027195	1.0	6	4	0	0.87478	0.96125	1.0	3787	9	-8.6237	-8.6237
RVBD3840:RVBD3840	RVBD3840	RVBD3840	NonEssential	GA	MSMEG6421		5	9.822e-05	0.0013568	1.0	7	3	0	0.94077	0.98593	1.0	3947	5	-10.924	-10.924
RVBD0365c:RVBD0365c	RVBD0365c	RVBD0365c	NonEssential	NE	MSMEG0740		7	0.00013023	0.0031974	1.0	8	4	0	0.8819	0.96263	1.0	3808	7	-10.21	-10.21
RVBD3075c:RVBD3075c	RVBD3075c	RVBD3075c	NonEssential	NE	MSMEG2667	Two-component system	7	0.00013814	0.0032447	1.0	9	3	0	0.95086	0.99365	1.0	3964	7	-9.8151	-9.8151
RVBD3318:sdhA	RVBD3318	sdhA	NonEssential	NE	MSMEG1670	Citrate cycle (TCA cycle),Butanoate metabolism,Oxidative phosphorylation	7	0.00016767	0.0038575	1.0	10	4	0	0.94757	0.99288	1.0	3956	7	-10.148	-10.148
RVBD0980c:PE-PGRS18	RVBD0980c	PE-PGRS18	NonEssential	GA			5	0.00018504	0.0020713	1.0	11	3	0	0.96813	0.99572	1.0	3992	5	-10.724	-10.724
RVBD1980c:mpt64	RVBD1980c	mpt64	NonEssential	GA	MSMEG2331		8	0.00019386	0.0045956	1.0	12	4	0	0.92935	0.9882	1.0	3923	8	-9.372	-9.372
RVBD3628:ppa	RVBD3628	ppa	Essential	ES	MSMEG6114	Oxidative phosphorylation	47	0.00022997	0.043466	1.0	13	4	0	0.3663	0.43727	0.979652	1780	47	-7.3269	-7.3269
RVBD2019:RVBD2019	RVBD2019	RVBD2019	NonEssential	GA			8	0.00024504	0.0055727	1.0	14	4	0	0.97289	0.99889	1.0	3999	8	-10.161	-10.161
RVBD3017c:esxQ	RVBD3017c	esxQ	NonEssential	NE	MSMEG0621		5	0.00026508	0.0027408	1.0	15	3	0	0.90819	0.9702	1.0	3870	5	-10.607	-10.607
RVBD2026c:RVBD2026c	RVBD2026c	RVBD2026c	NonEssential	NE	MSMEG3950		7	0.00027389	0.0046926	1.0	16	2	0	0.96808	0.99812	1.0	3991	7	-9.6794	-9.6794
RVBD1870c:RVBD1870c	RVBD1870c	RVBD1870c	NonEssential	NE			5	0.00032333	0.003337	1.0	17	3	0	0.94788	0.98878	1.0	3957	5	-10.544	-10.544
RVBD0241c:htdX	RVBD0241c	htdX	NonEssential	NE	MSMEG0371		6	0.00037503	0.0047494	1.0	18	3	0	0.91245	0.97611	1.0	3882	6	-9.8071	-9.8071
RVBD1371:RVBD1371	RVBD1371	RVBD1371	NonEssential	NE			26	0.0003951	0.025715	1.0	19	3	0	0.024824	0.017572	0.105207	689	26	-6.6969	-6.6969
RVBD0121c:RVBD0121c	RVBD0121c	RVBD0121c	NonEssential	NE	MSMEG6526		5	0.00041678	0.0048346	1.0	20	3	0	0.92187	0.97797	1.0	3903	5	-10.459	-10.459
RVBD2550c:vapB20	RVBD2550c	vapB20	NonEssential	NE			4	0.00043619	0.004915	1.0	21	2	0	0.97053	0.99508	1.0	3996	4	-10.518	-10.518
RVBD2590:fadD9	RVBD2590	fadD9	NonEssential	NE	MSMEG2956		22	0.00049236	0.026219	1.0	22	5	0	0.082868	0.087175	0.380424	940	22	-8.4087	-8.4087
RVBD2083:RVBD2083	RVBD2083	RVBD2083	NonEssential	NE			6	0.00054292	0.0065758	1.0	23	3	0	0.94237	0.98907	1.0	3948	6	-9.8767	-9.8767
RVBD0790c:RVBD0790c	RVBD0790c	RVBD0790c	NonEssential	NE			6	0.00059891	0.007198	1.0	24	2	0	0.97258	0.9983	1.0	3998	6	-9.2953	-9.2953
RVBD0773c:ggtA	RVBD0773c	ggtA	NonEssential	NE	MSMEG1615	Taurine and hypotaurine metabolism,Cyanoamino acid metabolism,Glutathione metabolism	16	0.00060731	0.021885	1.0	25	4	0	0.86353	0.96467	1.0	3749	16	-8.5843	-8.5843
RVBD2032:acg	RVBD2032	acg	NonEssential	NE	MSMEG3943		12	0.00060755	0.015826	1.0	26	4	0	0.039062	0.036575	0.188735	785	12	-8.8326	-8.8326
RVBD2704:RVBD2704	RVBD2704	RVBD2704	NonEssential	GA	MSMEG1681		5	0.00063149	0.0063014	1.0	27	2	0	0.9627	0.9943	1.0	3982	5	-10.102	-10.102
RVBD2731:RVBD2731	RVBD2731	RVBD2731	NonEssential	NE	MSMEG2731		10	0.00075024	0.014582	1.0	28	4	0	0.81438	0.9231	1.0	3564	10	-9.2718	-9.2718
RVBD1964:yrbE3A	RVBD1964	yrbE3A	NonEssential	NE	MSMEG0344	ABC transporters	8	0.00076001	0.01118	1.0	29	1	0	0.82637	0.92985	1.0	3610	8	-8.1493	-8.1493
RVBD2116:lppK	RVBD2116	lppK	NonEssential	NE	MSMEG3904		5	0.00083764	0.0091617	1.0	30	3	0	0.8132	0.90377	1.0	3560	5	-10.215	-10.215
RVBD2856:nicT	RVBD2856	nicT	NonEssential	NE			13	0.00087793	0.020364	1.0	31	4	0	0.93564	0.99343	1.0	3938	13	-9.0614	-9.0614
RVBD1928c:RVBD1928c	RVBD1928c	RVBD1928c	NonEssential	NE	MSMEG4862		12	0.0008795	0.017487	1.0	32	4	0	0.85483	0.95017	1.0	3711	12	-8.0708	-8.0708
RVBD2923c:RVBD2923c	RVBD2923c	RVBD2923c	NonEssential	NE	MSMEG2421		5	0.00092245	0.009843	1.0	33	3	0	0.68774	0.76991	1.0	3027	5	-10.182	-10.182
RVBD3820c:papA2	RVBD3820c	papA2	NonEssential	NE	MSMEG4728		12	0.0010058	0.018959	1.0	34	1	0	0.47741	0.54766	1.0	2174	12	-6.7558	-6.7558
RVBD3738c:PPE66	RVBD3738c	PPE66	NonEssential	GA	MSMEG0619		7	0.0010255	0.012055	1.0	35	3	0	0.87748	0.96044	1.0	3796	7	-10.065	-10.065
