id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3464:rmlB	RVBD3464	rmlB	Essential	ES	MSMEG1512	Polyketide sugar unit biosynthesis,Streptomycin biosynthesis,Acarbose and validamycin biosynthesis	56	8.2398e-06	0.00032995	0.416832	1	20	-2.7756	0.74921	0.97596	1.0	3340	17	0.61699	-2.7756
RVBD3724A:cut5a	RVBD3724A	cut5a	NonEssential	NE	MSMEG5878		6	2.1955e-05	0.00014175	0.416832	2	4	-1.8345	0.90233	0.88411	1.0	3676	1	0.69245	-1.8345
RVBD2859c:RVBD2859c	RVBD2859c	RVBD2859c	NonEssential	NE	MSMEG2596		5	6.6965e-05	0.00026087	0.416832	3	3	-3.0938	0.97298	0.97075	1.0	3884	0	0.0	-3.0938
RVBD0036c:RVBD0036c	RVBD0036c	RVBD0036c	NonEssential	NE	MSMEG6923		6	8.2608e-05	0.00048242	0.416832	4	2	-2.2991	0.15299	0.33122	1.0	1452	2	2.1167	-2.2991
RVBD3855:ethR	RVBD3855	ethR	NonEssential	NE	MSMEG6441		6	8.7988e-05	0.00050148	0.416832	5	4	-2.0678	0.98645	0.98517	1.0	3934	0	0.0	-2.0678
RVBD0917:betP	RVBD0917	betP	NonEssential	NE	MSMEG1883		29	0.00014282	0.0024717	0.774372	6	8	-2.2227	0.41667	0.80268	1.0	2553	10	0.81534	-2.2227
RVBD2187:fadD15	RVBD2187	fadD15	NonEssential	NE	MSMEG4254	Fatty acid biosynthesis,Fatty acid degradation,Quorum sensing	12	0.00015976	0.0014187	0.589604	7	5	-3.0654	0.39834	0.67548	1.0	2513	3	1.7836	-3.0654
RVBD0493c:RVBD0493c	RVBD0493c	RVBD0493c	NonEssential	NE			8	0.00016965	0.001271	0.586909	8	1	-5.5568	0.37197	0.60135	1.0	2431	2	1.2347	-5.5568
RVBD2870c:dxr	RVBD2870c	dxr	Essential	ES	MSMEG2578	Terpenoid backbone biosynthesis	89	0.00018906	0.0070481	0.837871	9	32	-1.6875	0.027402	0.29764	1.0	475	36	0.77369	-1.6875
RVBD1225c:RVBD1225c	RVBD1225c	RVBD1225c	NonEssential	NE	MSMEG0867		5	0.00019244	0.00081119	0.421411	10	3	-3.407	0.6257	0.69552	1.0	3086	1	1.1419	-3.407
RVBD1702c:RVBD1702c	RVBD1702c	RVBD1702c	NonEssential	ESD	MSMEG6573		117	0.00019488	0.0085085	0.862473	11	41	-1.9051	0.049213	0.4247	1.0	709	30	0.89671	-1.9051
RVBD2057c:rpmG1	RVBD2057c	rpmG1	NonEssential	GA	MSMEG6067	Ribosome	4	0.00019793	0.00066586	0.421411	12	1	-7.7292	0.050965	0.14068	1.0	723	2	0.59213	-7.7292
RVBD2711:ideR	RVBD2711	ideR	Essential	ES	MSMEG2750		51	0.00036048	0.0078153	0.844431	13	20	-3.1107	0.8005	0.98085	1.0	3449	12	0.64682	-3.1107
RVBD1728c:RVBD1728c	RVBD1728c	RVBD1728c	NonEssential	NE	MSMEG3714		6	0.00036541	0.0017331	0.654815	14	5	-1.4538	0.27529	0.48141	1.0	2054	1	1.8239	-1.4538
RVBD1577c:RVBD1577c	RVBD1577c	RVBD1577c	NonEssential	GD			72	0.00040055	0.011089	0.910698	15	19	-2.8312	0.054526	0.38416	1.0	754	18	0.66413	-2.8312
RVBD0098:fcoT	RVBD0098	fcoT	NonEssential	NE			11	0.00045629	0.0033746	0.774372	16	5	-2.9027	0.11999	0.36206	1.0	1264	3	1.2212	-2.9027
RVBD1979c:RVBD1979c	RVBD1979c	RVBD1979c	NonEssential	GA			24	0.00046136	0.0057093	0.790924	17	13	-1.0076	0.96962	0.99331	1.0	3873	4	0.66452	-1.0076
RVBD2808:RVBD2808	RVBD2808	RVBD2808	NonEssential	NE			7	0.00054777	0.0029934	0.774372	18	4	-2.1905	0.2543	0.46228	1.0	1968	1	2.3366	-2.1905
RVBD1434:RVBD1434	RVBD1434	RVBD1434	NonEssential	Uncertain			2	0.00057961	0.00079927	0.421411	19	1	-1.5413	0.78006	0.77538	1.0	3411	0	0.0	-1.5413
RVBD0825c:RVBD0825c	RVBD0825c	RVBD0825c	NonEssential	NE	MSMEG5768		6	0.00058698	0.0027051	0.774372	20	3	-4.5614	0.91489	0.89818	1.0	3711	1	0.48082	-4.5614
RVBD2934:ppsD	RVBD2934	ppsD	NonEssential	NE	MSMEG4513		33	0.00061718	0.0091446	0.90488	21	16	-2.5219	0.8713	0.98247	1.0	3604	6	0.95236	-2.5219
RVBD1666c:cyp139	RVBD1666c	cyp139	NonEssential	NE	MSMEG0822		8	0.00062194	0.0037057	0.774372	22	3	-4.1407	0.1897	0.42021	1.0	1674	2	1.8464	-4.1407
RVBD0020c:fhaA	RVBD0020c	fhaA	Essential	ESD	MSMEG0035		57	0.00062585	0.013095	0.910698	23	17	-3.3365	0.039676	0.29538	1.0	613	20	0.36561	-3.3365
RVBD2597:RVBD2597	RVBD2597	RVBD2597	NonEssential	GA			7	0.00062848	0.0036557	0.774372	24	4	-2.6747	0.84535	0.86184	1.0	3545	1	0.90434	-2.6747
RVBD3698:RVBD3698	RVBD3698	RVBD3698	NonEssential	NE	MSMEG6234		12	0.00068932	0.0051089	0.786395	25	7	-3.2489	0.76265	0.88621	1.0	3368	1	0.91841	-3.2489
RVBD1485:hemZ	RVBD1485	hemZ	Essential	ES	MSMEG3152	Porphyrin and chlorophyll metabolism	68	0.00077754	0.017716	0.910698	26	27	-3.0065	0.10464	0.54435	1.0	1155	19	1.1456	-3.0065
RVBD0994:moeA1	RVBD0994	moeA1	NonEssential	NE	MSMEG5470	Folate biosynthesis	7	0.00082686	0.0047897	0.774372	27	5	-3.6313	0.98788	0.98445	1.0	3938	0	0.0	-3.6313
RVBD3777:RVBD3777	RVBD3777	RVBD3777	NonEssential	NE	MSMEG6362		7	0.00084096	0.0048445	0.774372	28	3	-1.2559	0.37153	0.59252	1.0	2429	2	0.16983	-1.2559
RVBD0346c:ansP2	RVBD0346c	ansP2	NonEssential	NE	MSMEG5473		22	0.00092369	0.010014	0.910698	29	11	-2.1011	0.53208	0.83798	1.0	2859	4	-0.64971	-2.1011
RVBD0277c:vapC25	RVBD0277c	vapC25	NonEssential	NE			6	0.00094479	0.0044919	0.774372	30	5	-1.6458	0.75691	0.79681	1.0	3357	1	0.78216	-1.6458
RVBD1693:RVBD1693	RVBD1693	RVBD1693	NonEssential	Uncertain	MSMEG3752		5	0.00095401	0.0040702	0.774372	31	1	-4.7947	0.30714	0.47158	1.0	2188	1	0.17328	-4.7947
RVBD2616:RVBD2616	RVBD2616	RVBD2616	NonEssential	NE			6	0.00096116	0.0046563	0.774372	32	3	-1.6894	0.63462	0.73665	1.0	3110	2	0.79896	-1.6894
RVBD2425c:RVBD2425c	RVBD2425c	RVBD2425c	NonEssential	NE	MSMEG4582		10	0.00099138	0.0062786	0.815439	33	4	-2.3733	0.13851	0.3816	1.0	1370	5	0.89803	-2.3733
RVBD3164c:moxR3	RVBD3164c	moxR3	NonEssential	NE	MSMEG3867		11	0.0010105	0.0072435	0.837871	34	6	-1.2381	0.058139	0.2159	1.0	777	3	0.43693	-1.2381
RVBD0735:sigL	RVBD0735	sigL	NonEssential	NE	MSMEG1486		5	0.0010548	0.0044419	0.774372	35	2	-4.1279	0.10556	0.24291	1.0	1161	3	0.71783	-4.1279
RVBD3695:RVBD3695	RVBD3695	RVBD3695	NonEssential	NE	MSMEG6222		13	0.0011312	0.0081273	0.844431	36	8	-1.0404	0.99621	0.99414	1.0	3969	0	-1.5765	-1.0404
RVBD1034c:RVBD1034c	RVBD1034c	RVBD1034c	NonEssential	NE			5	0.0011373	0.0045896	0.774372	37	3	-4.5614	0.77463	0.76649	1.0	3395	1	0.53884	-4.5614
RVBD2681:RVBD2681	RVBD2681	RVBD2681	NonEssential	NE	MSMEG2778		7	0.0011376	0.0061691	0.815439	38	1	-7.4388	0.6259	0.74154	1.0	3087	2	0.84269	-7.4388
RVBD0048c:RVBD0048c	RVBD0048c	RVBD0048c	NonEssential	NE	MSMEG6902		6	0.0011828	0.0056116	0.790924	39	4	-1.399	0.571	0.69266	1.0	2970	1	0.92278	-1.399
RVBD0405:pks6	RVBD0405	pks6	Essential	ESD	MSMEG6392		344	0.0011942	0.03242	0.910698	40	92	-1.7251	0.20195	0.76412	1.0	1724	113	0.95274	-1.7251
RVBD3538:RVBD3538	RVBD3538	RVBD3538	NonEssential	NE	MSMEG5943		10	0.0012136	0.0075627	0.844431	41	3	-3.0328	0.45858	0.71312	1.0	2675	2	1.4387	-3.0328
RVBD1057:RVBD1057	RVBD1057	RVBD1057	NonEssential	NE	MSMEG5308		5	0.0012365	0.0048111	0.774372	42	2	-1.9396	0.9638	0.96017	1.0	3859	0	0.0	-1.9396
RVBD0203:RVBD0203	RVBD0203	RVBD0203	NonEssential	NE	MSMEG0242		5	0.0013778	0.0053805	0.790924	43	2	-4.4329	0.90029	0.88435	1.0	3671	0	0.0	-4.4329
RVBD1924c:RVBD1924c	RVBD1924c	RVBD1924c	NonEssential	GA			3	0.0014698	0.0038082	0.774372	44	3	-1.5315	0.99853	0.99785	1.0	3978	0	0.0	-1.5315
RVBD1724c:RVBD1724c	RVBD1724c	RVBD1724c	NonEssential	NE			7	0.0014836	0.0072578	0.837871	45	1	-7.3361	0.20411	0.41238	1.0	1731	3	0.7148	-7.3361
RVBD2746c:pgsA3	RVBD2746c	pgsA3	Essential	ES	MSMEG2692	Glycerophospholipid metabolism	63	0.0015179	0.027229	0.910698	46	12	-3.1703	0.24123	0.75364	1.0	1916	19	0.59804	-3.1703
RVBD1132:RVBD1132	RVBD1132	RVBD1132	NonEssential	NE	MSMEG5202		22	0.0015884	0.016319	0.910698	47	11	-3.5327	0.065806	0.30273	1.0	849	6	1.2222	-3.5327
RVBD2331:RVBD2331	RVBD2331	RVBD2331	NonEssential	NE			7	0.0016709	0.0080058	0.844431	48	2	-3.5797	0.98412	0.98094	1.0	3925	0	0.0	-3.5797
RVBD2977c:thiL	RVBD2977c	thiL	Essential	ES	MSMEG2398	Thiamine metabolism	72	0.0016848	0.033537	0.910698	49	20	-3.1949	0.64222	0.96582	1.0	3127	17	1.0576	-3.1949
RVBD2600:RVBD2600	RVBD2600	RVBD2600	NonEssential	GA			11	0.001751	0.011479	0.910698	50	6	-2.1266	0.76809	0.8824	1.0	3376	3	0.46679	-2.1266
RVBD2045c:lipT	RVBD2045c	lipT	NonEssential	NE	MSMEG3848		11	0.0018195	0.011527	0.910698	51	3	-3.4123	0.45797	0.71655	1.0	2671	3	0.56897	-3.4123
RVBD3554:fdxB	RVBD3554	fdxB	NonEssential	NE	MSMEG4878		21	0.0018722	0.017538	0.910698	52	10	-2.91	0.12512	0.43323	1.0	1286	9	0.90149	-2.91
RVBD2274A:mazE8	RVBD2274A	mazE8	NonEssential	NE			4	0.0019055	0.0070696	0.837871	53	3	-1.5013	0.76755	0.74214	1.0	3374	1	0.5317	-1.5013
RVBD2097c:pafA	RVBD2097c	pafA	NonEssential	NE	MSMEG3890		12	0.0019433	0.013403	0.910698	54	6	-2.9179	0.24491	0.53663	1.0	1930	3	-0.73995	-2.9179
RVBD2714:RVBD2714	RVBD2714	RVBD2714	NonEssential	NE	MSMEG2746		7	0.002105	0.010341	0.910698	55	4	-4.3937	0.9412	0.92552	1.0	3794	1	0.57449	-4.3937
RVBD3565:aspB	RVBD3565	aspB	NonEssential	NE	MSMEG6017		16	0.002295	0.016354	0.910698	56	5	-1.8525	0.16517	0.4808	1.0	1534	5	0.83944	-1.8525
RVBD3704c:gshA	RVBD3704c	gshA	NonEssential	NE	MSMEG6250	Cysteine and methionine metabolism,Glutathione metabolism	7	0.0023803	0.011663	0.910698	57	5	-3.2616	0.48133	0.66726	1.0	2749	1	1.7379	-3.2616
RVBD0377:RVBD0377	RVBD0377	RVBD0377	NonEssential	NE	MSMEG0742		12	0.0024126	0.015629	0.910698	58	5	-2.9451	0.1566	0.43392	1.0	1473	4	1.3791	-2.9451
RVBD1776c:RVBD1776c	RVBD1776c	RVBD1776c	NonEssential	NE	MSMEG0676		6	0.0026675	0.011417	0.910698	59	4	-1.3235	0.76853	0.80096	1.0	3380	1	-1.189	-1.3235
RVBD2221c:glnE	RVBD2221c	glnE	Essential	GD	MSMEG4293		266	0.0026961	0.057396	0.910698	60	80	-1.7359	0.54845	0.95796	1.0	2907	77	0.82442	-1.7359
RVBD6029:tRNA-Gly27	RVBD6029	tRNA-Gly27	NonEssential	NA			18	0.0027923	0.022199	0.910698	61	9	-3.1586	0.54184	0.81982	1.0	2890	4	0.91518	-3.1586
RVBD0143c:RVBD0143c	RVBD0143c	RVBD0143c	NonEssential	NE	MSMEG6465		16	0.002805	0.019958	0.910698	62	9	-1.4961	0.6817	0.8869	1.0	3208	4	0.70293	-1.4961
