id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		351	2.6137e-75	1.1818e-06	1.6e-05	1	283	-1.3769	0.99944	1.0	1.0	3959	12	0.45275	-1.3769
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	5.65e-72	1.1818e-06	1.6e-05	2	49	-3.7953	0.6541	0.99774	1.0	2838	2	0.67639	-3.7953
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	381	2.0153e-71	1.1818e-06	1.6e-05	3	254	-1.5835	0.96285	1.0	1.0	3778	14	0.50571	-1.5835
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	674	5.6480000000000005e-71	1.1818e-06	1.6e-05	4	451	-1.41	0.85529	0.99998	1.0	3460	42	0.50331	-1.41
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	415	1.2035e-62	1.1818e-06	1.6e-05	5	252	-1.5465	0.76048	0.99994	1.0	3148	41	0.43115	-1.5465
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		368	1.7255e-58	1.1818e-06	1.6e-05	6	275	-1.2557	0.733	0.99991	1.0	3064	12	0.4189	-1.2557
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	174	1.2577e-56	1.1818e-06	1.6e-05	7	149	-1.5756	0.061911	0.93376	1.0	828	6	0.57774	-1.5756
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	373	1.3581e-51	1.1818e-06	1.6e-05	8	233	-1.591	0.048422	0.91883	1.0	721	28	0.49403	-1.591
RVBD1477:ripA	RVBD1477	ripA	Essential	ESD	MSMEG3145		135	3.7258999999999997e-51	1.1818e-06	1.6e-05	9	86	-2.2317	0.83136	0.99997	1.0	3383	7	0.48053	-2.2317
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	231	1.0028e-46	1.1818e-06	1.6e-05	10	159	-1.6854	0.32421	0.99589	1.0	1965	17	0.47489	-1.6854
RVBD1594:nadA	RVBD1594	nadA	Essential	ES	MSMEG3199	Nicotinate and nicotinamide metabolism	124	2.5635e-43	1.1818e-06	1.6e-05	11	104	-1.5351	0.99991	1.0	1.0	3983	1	0.4334	-1.5351
RVBD1479:moxR1	RVBD1479	moxR1	Essential	ES	MSMEG3147		161	2.0507e-42	1.1818e-06	1.6e-05	12	118	-1.7799	0.74479	0.99992	1.0	3099	3	0.67639	-1.7799
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		248	1.6387000000000002e-41	1.1818e-06	1.6e-05	13	168	-1.8169	0.95724	1.0	1.0	3764	12	0.61218	-1.8169
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		103	3.2386999999999997e-40	1.1818e-06	1.6e-05	14	77	-2.3273	0.71449	0.99989	1.0	3015	4	0.51371	-2.3273
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	154	1.6965999999999998e-38	1.1818e-06	1.6e-05	15	121	-1.6161	0.68215	0.99983	1.0	2915	6	0.55892	-1.6161
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	124	7.4516e-37	1.1818e-06	1.6e-05	16	111	-1.4375	1.0	1.0	1.0	4010	0	0.0	-1.4375
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	223	5.3390000000000005e-36	1.1818e-06	1.6e-05	17	144	-1.4948	0.84371	0.99998	1.0	3421	18	0.54874	-1.4948
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		120	6.1242e-36	1.1818e-06	1.6e-05	18	101	-1.5217	0.99998	1.0	1.0	3991	1	0.38321	-1.5217
RVBD3809c:glf	RVBD3809c	glf	Essential	ES	MSMEG6404	Galactose metabolism,Amino sugar and nucleotide sugar metabolism	83	1.1764e-35	1.1818e-06	1.6e-05	19	75	-1.856	0.91083	0.99998	1.0	3617	1	0.77454	-1.856
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	242	4.3191e-31	1.1818e-06	1.6e-05	20	179	-1.1267	0.94864	1.0	1.0	3733	6	0.71978	-1.1267
RVBD3257c:pmmA	RVBD3257c	pmmA	Essential	ES	MSMEG1834	Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism	94	3.6981000000000005e-30	1.1818e-06	1.6e-05	21	82	-1.6522	0.71277	0.99985	1.0	3008	2	0.80067	-1.6522
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		108	1.4747e-28	1.1818e-06	1.6e-05	22	85	-1.4207	0.80345	0.99996	1.0	3290	2	1.0661	-1.4207
RVBD3245c:mtrB	RVBD3245c	mtrB	Essential	GD	MSMEG1875	Two-component system	144	3.1415999999999997e-28	1.1818e-06	1.6e-05	23	82	-1.2386	0.28488	0.99451	1.0	1852	14	0.3876	-1.2386
RVBD2925c:rnc	RVBD2925c	rnc	Essential	ES	MSMEG2418		68	7.2904e-27	1.1818e-06	1.6e-05	24	55	-1.8989	0.84897	0.99981	1.0	3439	2	0.44394	-1.8989
RVBD1481:RVBD1481	RVBD1481	RVBD1481	Essential	ES	MSMEG3149		126	7.596000000000001e-26	1.1818e-06	1.6e-05	25	87	-1.3069	0.9773	1.0	1.0	3828	3	0.35205	-1.3069
RVBD1111c:RVBD1111c	RVBD1111c	RVBD1111c	Essential	ESD	MSMEG5223		107	1.4034e-24	1.1818e-06	1.6e-05	26	66	-2.0967	0.04182	0.90778	1.0	668	10	0.52591	-2.0967
RVBD3781:rfbE	RVBD3781	rfbE	Essential	ES	MSMEG6366		76	3.8104e-24	1.1818e-06	1.6e-05	27	64	-1.579	0.98722	1.0	1.0	3868	4	0.40845	-1.579
RVBD3909:RVBD3909	RVBD3909	RVBD3909	Essential	ES	MSMEG6928		217	6.8426e-24	1.1818e-06	1.6e-05	28	119	-1.5865	0.22003	0.98987	1.0	1634	29	0.43699	-1.5865
RVBD1166:lpqW	RVBD1166	lpqW	Essential	ES	MSMEG5130		160	2.9681e-23	1.1818e-06	1.6e-05	29	95	-1.7532	0.77873	0.99994	1.0	3199	11	0.3872	-1.7532
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		95	7.3717e-23	1.1818e-06	1.6e-05	30	65	-2.0918	0.92866	0.99999	1.0	3665	6	0.42557	-2.0918
RVBD2201:asnB	RVBD2201	asnB	Essential	ES	MSMEG4269	"""Alanine, aspartate and glutamate metabolism"""	189	8.7808e-23	1.1818e-06	1.6e-05	31	103	-1.7325	0.14819	0.97843	1.0	1342	21	0.62547	-1.7325
