id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD2984:ppk1	RVBD2984	ppk1	Essential	GD	MSMEG2391	Oxidative phosphorylation,RNA degradation	193	6.2566000000000005e-24	1.1897e-06	3.5e-05	1	163	-1.5895	0.92089	1.0	1.0	3529	8	0.97482	-1.5895
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	193	4.3121e-17	1.1897e-06	3.5e-05	2	152	-1.5369	0.98437	1.0	1.0	3811	7	0.98628	-1.5369
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	94	3.7616e-13	1.1897e-06	3.5e-05	3	79	-1.6973	0.99505	1.0	1.0	3896	3	0.94392	-1.6973
RVBD1697:RVBD1697	RVBD1697	RVBD1697	Essential	ES	MSMEG3748		53	1.9735e-12	1.1897e-06	3.5e-05	4	47	-2.0681	0.13374	0.95063	1.0	1069	3	0.73067	-2.0681
RVBD2196:qcrB	RVBD2196	qcrB	Essential	GD	MSMEG4263	Oxidative phosphorylation	97	4.8408e-11	1.1897e-06	3.5e-05	5	76	-1.7609	0.70543	0.99998	1.0	2826	1	1.4873	-1.7609
RVBD2587c:secD	RVBD2587c	secD	Essential	ES	MSMEG2961	Protein export,Bacterial secretion system	150	7.7483e-11	1.1897e-06	3.5e-05	6	113	-1.4645	0.6718	0.99998	1.0	2709	1	1.656	-1.4645
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		183	2.5203e-10	1.1897e-06	3.5e-05	7	130	-1.7007	0.48836	0.99985	1.0	2154	11	1.1586	-1.7007
RVBD0467:icl1	RVBD0467	icl1	NonEssential	GD	MSMEG0911	Glyoxylate and dicarboxylate metabolism	65	3.1478e-10	1.1897e-06	3.5e-05	8	56	-1.6741	1.0	1.0	1.0	3985	0	0.0	-1.6741
RVBD1477:ripA	RVBD1477	ripA	Essential	ESD	MSMEG3145		90	4.0516e-10	1.1897e-06	3.5e-05	9	73	-1.9035	0.99999	1.0	1.0	3983	1	0.93464	-1.9035
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	121	5.516e-10	1.1897e-06	3.5e-05	10	91	-1.7425	0.99554	1.0	1.0	3904	7	0.90607	-1.7425
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	204	5.5191e-10	1.1897e-06	3.5e-05	11	133	-1.729	0.21137	0.99747	1.0	1367	16	1.0412	-1.729
RVBD3859c:gltB	RVBD3859c	gltB	Essential	ES	MSMEG6459	"Nitrogen metabolism,""Alanine, aspartate and glutamate metabolism"""	118	1.3883e-09	1.1897e-06	3.5e-05	12	87	-1.771	0.99055	1.0	1.0	3867	5	1.5396	-1.771
RVBD0384c:clpB	RVBD0384c	clpB	Essential	GD	MSMEG0732		109	1.7139e-09	1.1897e-06	3.5e-05	13	83	-1.6907	0.91976	1.0	1.0	3522	5	1.3808	-1.6907
RVBD3193c:RVBD3193c	RVBD3193c	RVBD3193c	Essential	NE	MSMEG1959		19	2.1327e-09	1.1897e-06	3.5e-05	14	19	-1.8021	1.0	1.0	1.0	3986	0	0.0	-1.8021
RVBD2194:qcrC	RVBD2194	qcrC	Essential	GD	MSMEG4261	Oxidative phosphorylation	43	3.0065e-09	1.1897e-06	3.5e-05	15	39	-1.8021	0.85958	0.9996	1.0	3326	1	0.75885	-1.8021
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	79	3.9815e-09	1.1897e-06	3.5e-05	16	62	-2.0388	0.85476	0.99999	1.0	3308	4	1.1072	-2.0388
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		34	3.9942e-09	1.1897e-06	3.5e-05	17	30	-2.1773	0.99995	1.0	1.0	3979	0	0.0	-2.1773
RVBD1309:atpG	RVBD1309	atpG	Essential	ES	MSMEG4937	Oxidative phosphorylation	30	4.0347e-09	1.1897e-06	3.5e-05	18	27	-2.2421	0.82321	0.99774	1.0	3206	2	0.5714	-2.2421
RVBD1708:RVBD1708	RVBD1708	RVBD1708	Essential	ES	MSMEG3743		52	4.1861e-09	1.1897e-06	3.5e-05	19	46	-1.5497	0.99851	1.0	1.0	3931	1	1.0501	-1.5497
RVBD2182c:RVBD2182c	RVBD2182c	RVBD2182c	Essential	ES	MSMEG4248	Glycerolipid metabolism,Glycerophospholipid metabolism	53	5.3785e-09	1.1897e-06	3.5e-05	20	45	-1.5246	0.98648	1.0	1.0	3827	2	1.1465	-1.5246
RVBD0002:dnaN	RVBD0002	dnaN	Essential	ES	MSMEG0001	DNA replication,Mismatch repair,Homologous recombination	93	7.987e-09	1.1897e-06	3.5e-05	21	71	-1.9756	0.96323	1.0	1.0	3700	3	1.2423	-1.9756
RVBD2881c:cdsA	RVBD2881c	cdsA	Essential	ES	MSMEG2543	Glycerophospholipid metabolism	104	9.1778e-09	1.1897e-06	3.5e-05	22	77	-1.8392	0.99832	1.0	1.0	3929	2	1.5711	-1.8392
RVBD1308:atpA	RVBD1308	atpA	Essential	ES	MSMEG4938	Oxidative phosphorylation	59	1.2052e-08	1.1897e-06	3.5e-05	23	49	-1.9461	0.97246	1.0	1.0	3740	1	0.37631	-1.9461
RVBD1348:irtA	RVBD1348	irtA	Essential	ESD	MSMEG6554	ABC transporters	223	1.2897e-08	1.1897e-06	3.5e-05	24	139	-1.8021	0.97576	1.0	1.0	3758	17	0.90933	-1.8021
RVBD3792:aftA	RVBD3792	aftA	Essential	ES	MSMEG6386	Arabinogalactan biosynthesis - Mycobacterium	156	1.3298e-08	1.1897e-06	3.5e-05	25	111	-1.8674	0.49836	0.99986	1.0	2181	10	1.0043	-1.8674
RVBD1459c:RVBD1459c	RVBD1459c	RVBD1459c	Essential	ESD	MSMEG3120	Lipoarabinomannan (LAM) biosynthesis	160	1.9937e-08	1.1897e-06	3.5e-05	26	113	-1.6355	0.89009	1.0	1.0	3426	7	1.0247	-1.6355
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	359	2.2799e-08	1.1897e-06	3.5e-05	27	229	-1.6602	0.91603	1.0	1.0	3507	24	1.0249	-1.6602
RVBD1594:nadA	RVBD1594	nadA	Essential	ES	MSMEG3199	Nicotinate and nicotinamide metabolism	79	2.3659e-08	1.1897e-06	3.5e-05	28	59	-1.6784	0.93346	1.0	1.0	3574	4	1.0289	-1.6784
RVBD1307:atpH	RVBD1307	atpH	Essential	ES	MSMEG4939	Oxidative phosphorylation	76	2.3887e-08	1.1897e-06	3.5e-05	29	61	-1.6552	0.99228	1.0	1.0	3877	1	1.8221	-1.6552
RVBD1456c:RVBD1456c	RVBD1456c	RVBD1456c	Essential	ES	MSMEG3117	Oxidative phosphorylation,Porphyrin and chlorophyll metabolism,Two-component system	86	2.901e-08	1.1897e-06	3.5e-05	30	63	-1.792	0.9413	0.99999	1.0	3601	5	0.78707	-1.792
RVBD0876c:RVBD0876c	RVBD0876c	RVBD0876c	Essential	NE	MSMEG5693		11	3.7261e-08	1.1897e-06	3.5e-05	31	11	-2.5169	0.99971	1.0	1.0	3964	0	0.0	-2.5169
RVBD1098c:fum	RVBD1098c	fum	Essential	ES	MSMEG5240	Citrate cycle (TCA cycle),Pyruvate metabolism	106	3.8245e-08	1.1897e-06	3.5e-05	32	79	-1.3648	0.90729	1.0	1.0	3482	2	0.96694	-1.3648
RVBD2174:mptA	RVBD2174	mptA	Essential	ES	MSMEG4241	Lipoarabinomannan (LAM) biosynthesis	146	4.525e-08	1.1897e-06	3.5e-05	33	99	-1.8149	0.44146	0.99978	1.0	2043	13	0.69751	-1.8149
RVBD2746c:pgsA3	RVBD2746c	pgsA3	Essential	ES	MSMEG2692	Glycerophospholipid metabolism	61	5.0164e-08	1.1897e-06	3.5e-05	34	48	-1.4957	0.99999	1.0	1.0	3984	0	0.0	-1.4957
RVBD0126:treS	RVBD0126	treS	Essential	NE	MSMEG6515	Starch and sucrose metabolism	18	6.854e-08	1.1897e-06	3.5e-05	35	16	-2.4258	0.94349	0.99739	1.0	3611	0	0.0	-2.4258
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	269	7.9113e-08	1.1897e-06	3.5e-05	36	160	-1.9072	0.83876	1.0	1.0	3258	22	0.97387	-1.9072
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	131	8.2514e-08	1.1897e-06	3.5e-05	37	95	-1.5375	0.95044	1.0	1.0	3644	8	0.98787	-1.5375
RVBD3805c:aftB	RVBD3805c	aftB	Essential	ES	MSMEG6400	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	154	1.2103e-07	1.1897e-06	3.5e-05	38	103	-1.9072	0.065264	0.98158	1.0	692	12	1.147	-1.9072
RVBD1854c:ndh	RVBD1854c	ndh	Essential	GD	MSMEG3621	Oxidative phosphorylation	91	1.2206e-07	1.1897e-06	3.5e-05	39	70	-1.3316	0.97574	1.0	1.0	3757	6	0.9916	-1.3316
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		103	1.368e-07	1.1897e-06	3.5e-05	40	75	-1.7201	0.87707	1.0	1.0	3383	6	1.1136	-1.7201
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	91	1.4302e-07	1.1897e-06	3.5e-05	41	69	-1.5828	0.32673	0.99881	1.0	1708	6	1.4843	-1.5828
RVBD2195:qcrA	RVBD2195	qcrA	Essential	GD	MSMEG4262	Oxidative phosphorylation	39	1.4403e-07	1.1897e-06	3.5e-05	42	34	-1.9756	0.99685	0.99999	1.0	3913	0	0.0	-1.9756
