id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		118	7.512399999999999e-66	1.1823e-06	5e-06	1	116	-3.0572	1.0	1.0	1.0	4010	0	0.0	-3.0572
RVBD3793:embC	RVBD3793	embC	Essential	ES	MSMEG6387	Lipoarabinomannan (LAM) biosynthesis	415	3.6566999999999997e-65	1.1823e-06	5e-06	2	265	-2.8792	0.80957	0.99919	1.0	2976	19	0.51837	-2.8792
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	377	2.264e-61	1.1823e-06	5e-06	3	280	-2.5048	0.978	0.99998	1.0	3679	14	0.41272	-2.5048
RVBD0338c:RVBD0338c	RVBD0338c	RVBD0338c	Essential	ES	MSMEG0690		337	1.4394e-54	1.1823e-06	5e-06	4	283	-1.7978	0.80368	0.99917	1.0	2947	8	0.57581	-1.7978
RVBD3043c:ctaD	RVBD3043c	ctaD	Essential	ES	MSMEG4437	Oxidative phosphorylation	201	7.1062e-53	1.1823e-06	5e-06	5	180	-2.3437	0.023537	0.67933	1.0	220	3	0.7837	-2.3437
RVBD3246c:mtrA	RVBD3246c	mtrA	Essential	ES	MSMEG1874	Two-component system	57	2.5531e-51	1.1823e-06	5e-06	6	51	-4.3643	0.44278	0.95597	1.0	1630	2	0.6981	-4.3643
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	367	4.638099999999999e-50	1.1823e-06	5e-06	7	239	-2.7166	0.19547	0.94259	1.0	845	21	0.49779	-2.7166
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	167	3.1605e-48	1.1823e-06	5e-06	8	149	-1.9982	0.99814	0.99999	1.0	3856	2	0.36511	-1.9982
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	115	5.3862e-42	1.1823e-06	5e-06	9	105	-2.7809	0.94979	0.99993	1.0	3520	1	0.53811	-2.7809
RVBD2673:aftC	RVBD2673	aftC	Essential	ES	MSMEG2785	Lipoarabinomannan (LAM) biosynthesis,Arabinogalactan biosynthesis - Mycobacterium	221	1.1534000000000001e-41	1.1823e-06	5e-06	10	158	-2.7381	0.69556	0.99793	1.0	2530	7	0.43976	-2.7381
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		96	1.248e-40	1.1823e-06	5e-06	11	91	-3.1095	1.0	1.0	1.0	4006	0	0.0	-3.1095
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	534	1.6081e-39	1.1823e-06	5e-06	12	402	-1.9236	0.97792	0.99998	1.0	3677	20	0.54873	-1.9236
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	220	1.1413e-37	1.1823e-06	5e-06	13	151	-3.0201	0.76031	0.9989	1.0	2765	6	0.53615	-3.0201
