id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD3794:embA	RVBD3794	embA	Essential	ES	MSMEG6388	Arabinogalactan biosynthesis - Mycobacterium	374	1.296e-31	1.1821e-06	3.3e-05	1	158	-0.88159	0.72679	0.82926	1.0	3131	9	0.91243	-0.88159
RVBD0206c:mmpL3	RVBD0206c	mmpL3	Essential	ESD	MSMEG0250		228	1.3701e-30	1.1821e-06	3.3e-05	2	106	-1.4604	0.91792	0.94961	1.0	3751	7	0.74304	-1.4604
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		73	3.3417e-24	1.1821e-06	3.3e-05	3	46	-1.6504	0.37081	0.50974	0.920957	1729	3	0.82736	-1.6504
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		97	1.8131e-23	1.1821e-06	3.3e-05	4	52	-1.3918	0.31042	0.44688	0.896765	1525	2	1.1399	-1.3918
RVBD1479:moxR1	RVBD1479	moxR1	Essential	ES	MSMEG3147		160	2.6389e-23	1.1821e-06	3.3e-05	5	80	-1.061	0.82341	0.8917	1.0	3463	5	0.50572	-1.061
RVBD0014c:pknB	RVBD0014c	pknB	Essential	ES	MSMEG0028		151	2.2183e-22	1.1821e-06	3.3e-05	6	77	-1.1931	0.95332	0.96795	1.0	3849	5	0.98389	-1.1931
RVBD0732:secY	RVBD0732	secY	Essential	ES	MSMEG1483	Protein export,Bacterial secretion system,Quorum sensing	99	3.132e-20	1.1821e-06	3.3e-05	7	50	-1.5565	0.76746	0.84741	1.0	3281	4	0.91822	-1.5565
RVBD0015c:pknA	RVBD0015c	pknA	Essential	ES	MSMEG0030		89	1.0765e-18	1.1821e-06	3.3e-05	8	51	-1.2564	0.78255	0.854	1.0	3333	3	0.38855	-1.2564
RVBD3800c:pks13	RVBD3800c	pks13	Essential	ES	MSMEG6392		345	1.6753e-18	1.1821e-06	3.3e-05	9	119	-1.0847	0.22252	0.34832	0.866258	1202	14	0.64363	-1.0847
RVBD0668:rpoC	RVBD0668	rpoC	Essential	ES	MSMEG1368	RNA polymerase	191	7.7203e-18	1.1821e-06	3.3e-05	10	79	-1.1118	0.49632	0.64979	0.966977	2241	5	0.56544	-1.1118
RVBD3801c:fadD32	RVBD3801c	fadD32	Essential	ES	MSMEG6393		146	9.926e-18	1.1821e-06	3.3e-05	11	58	-1.3085	0.26992	0.41029	0.888476	1373	7	1.0769	-1.3085
RVBD0667:rpoB	RVBD0667	rpoB	Essential	ES	MSMEG1367	RNA polymerase	228	1.5042e-17	1.1821e-06	3.3e-05	12	87	-1.1836	0.85876	0.91702	1.0	3566	7	0.75337	-1.1836
RVBD3834c:serS	RVBD3834c	serS	Essential	ES	MSMEG6413	Aminoacyl-tRNA biosynthesis	103	2.2793e-16	1.1821e-06	3.3e-05	13	46	-1.2877	0.42753	0.57326	0.946992	1945	5	0.856	-1.2877
RVBD1480:RVBD1480	RVBD1480	RVBD1480	Essential	ES	MSMEG3148		60	1.3741e-15	1.1821e-06	3.3e-05	14	33	-1.3861	0.97441	0.95396	1.0	3916	1	0.79025	-1.3861
RVBD2201:asnB	RVBD2201	asnB	Essential	ES	MSMEG4269	"""Alanine, aspartate and glutamate metabolism"""	191	1.4469e-15	1.1821e-06	3.3e-05	15	74	-0.91892	0.88768	0.93408	1.0	3670	6	0.67851	-0.91892
RVBD3240c:secA1	RVBD3240c	secA1	Essential	ESD	MSMEG1881	Protein export,Bacterial secretion system,Quorum sensing	141	1.4502e-15	1.1821e-06	3.3e-05	16	56	-1.4008	0.1459	0.2655	0.820595	918	13	0.65651	-1.4008
RVBD2093c:tatC	RVBD2093c	tatC	Essential	GD	MSMEG3886	Protein export,Bacterial secretion system	121	2.5683e-15	1.1821e-06	3.3e-05	17	58	-1.0679	0.27548	0.42073	0.892228	1402	4	0.9578	-1.0679
RVBD2581c:RVBD2581c	RVBD2581c	RVBD2581c	Essential	ESD	MSMEG2975	Pyruvate metabolism	56	3.4859e-15	1.1821e-06	3.3e-05	18	35	-0.99319	0.97055	0.94869	1.0	3903	1	0.84999	-0.99319
RVBD3795:embB	RVBD3795	embB	Essential	ES	MSMEG6389	Arabinogalactan biosynthesis - Mycobacterium	369	4.1886e-15	1.1821e-06	3.3e-05	19	123	-0.94001	0.13045	0.24762	0.812899	856	13	0.88162	-0.94001
RVBD1094:desA2	RVBD1094	desA2	Essential	ES	MSMEG5248	Fatty acid biosynthesis,Biosynthesis of unsaturated fatty acids	60	4.5696e-15	1.1821e-06	3.3e-05	20	36	-0.94947	0.30233	0.41901	0.892228	1500	3	1.3925	-0.94947
RVBD2145c:wag31	RVBD2145c	wag31	Essential	ES	MSMEG4217		86	6.6238e-15	1.1821e-06	3.3e-05	21	42	-1.0597	0.094526	0.19831	0.77522	701	4	0.79793	-1.0597
RVBD3783:rfbD	RVBD3783	rfbD	Essential	ES	MSMEG6369		116	1.2824e-14	1.1821e-06	3.3e-05	22	55	-0.951	0.49274	0.64732	0.966977	2216	7	0.61914	-0.951
RVBD0284:eccC3	RVBD0284	eccC3	Essential	ES	MSMEG0617		383	1.6754e-14	1.1821e-06	3.3e-05	23	126	-0.80236	0.60416	0.74058	0.985262	2650	17	0.75471	-0.80236
RVBD2524c:fas	RVBD2524c	fas	Essential	ES	MSMEG4757	Fatty acid biosynthesis	635	4.8139e-14	1.1821e-06	3.3e-05	24	181	-0.97724	0.551	0.69917	0.976625	2448	31	0.77068	-0.97724
RVBD0227c:RVBD0227c	RVBD0227c	RVBD0227c	Essential	ES	MSMEG0317		86	5.058e-14	1.1821e-06	3.3e-05	25	43	-1.2595	0.83298	0.89802	1.0	3488	2	0.5394	-1.2595
RVBD2572c:aspS	RVBD2572c	aspS	Essential	ES	MSMEG3003	Aminoacyl-tRNA biosynthesis	107	6.6405e-14	1.1821e-06	3.3e-05	26	51	-1.0878	0.041594	0.15336	0.755823	397	8	1.1163	-1.0878
RVBD3778c:RVBD3778c	RVBD3778c	RVBD3778c	Essential	GD	MSMEG6363		115	6.7751e-14	1.1821e-06	3.3e-05	27	51	-0.86681	0.86421	0.91914	1.0	3590	2	0.94075	-0.86681
RVBD0002:dnaN	RVBD0002	dnaN	Essential	ES	MSMEG0001	DNA replication,Mismatch repair,Homologous recombination	127	1.0519e-13	1.1821e-06	3.3e-05	28	52	-0.85835	0.38297	0.53445	0.93242	1784	9	0.71741	-0.85835
