id	orf	name	essentiality	mbio Call	orthologs	pathways	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	logfc
RVBD2150c:ftsZ	RVBD2150c	ftsZ	Essential	ES	MSMEG4222		73	3.6607000000000005e-30	1.1818e-06	0.000261	1	63	-1.4298	1.0	1.0	1.0	4014	0	0.0	-1.4298
RVBD0001:dnaA	RVBD0001	dnaA	Essential	ES	MSMEG6947	Two-component system	96	1.2536e-20	1.1818e-06	0.000261	2	64	-1.1865	0.93184	0.99566	1.0	3680	1	0.31917	-1.1865
RVBD0058:dnaB	RVBD0058	dnaB	Essential	ES	MSMEG6892	DNA replication	184	3.4586e-16	1.1818e-06	0.000261	3	98	-0.9737	0.9616	0.9981	1.0	3803	11	0.40623	-0.9737
RVBD1828:RVBD1828	RVBD1828	RVBD1828	Essential	GD	MSMEG3646		103	9.3463e-15	1.1818e-06	0.000261	4	65	-1.0674	0.95517	0.99773	1.0	3780	7	0.55442	-1.0674
RVBD0006:gyrA	RVBD0006	gyrA	Essential	ES	MSMEG0006		196	7.32e-13	1.1818e-06	0.000261	5	97	-0.52358	0.99651	0.99993	1.0	3975	14	0.32938	-0.52358
RVBD0002:dnaN	RVBD0002	dnaN	Essential	ES	MSMEG0001	DNA replication,Mismatch repair,Homologous recombination	138	1.2126e-12	1.1818e-06	0.000261	6	73	-0.69291	0.99818	0.99996	1.0	3985	12	0.3031	-0.69291
RVBD2783c:gpsI	RVBD2783c	gpsI	Essential	ES	MSMEG2656	RNA degradation	223	1.7642e-10	1.1818e-06	0.000261	7	104	-0.70845	0.39136	0.74479	1.0	1966	14	0.53835	-0.70845
RVBD3645:RVBD3645	RVBD3645	RVBD3645	Essential	ES	MSMEG6154	Purine metabolism	177	3.389e-10	1.1818e-06	0.000261	8	80	-0.63929	0.72448	0.95394	1.0	2952	17	0.44205	-0.63929
RVBD1547:dnaE1	RVBD1547	dnaE1	Essential	ES	MSMEG3178	DNA replication,Mismatch repair,Homologous recombination	316	5.7872e-10	1.1818e-06	0.000261	9	135	-0.79641	0.76056	0.96453	1.0	3064	28	0.40974	-0.79641
RVBD3596c:clpC1	RVBD3596c	clpC1	Essential	ES	MSMEG6091		138	1.4389e-09	1.1818e-06	0.000261	10	70	-0.85347	0.21169	0.51559	1.0	1289	7	0.68091	-0.85347
RVBD1111c:RVBD1111c	RVBD1111c	RVBD1111c	Essential	ESD	MSMEG5223		107	1.636e-09	1.1818e-06	0.000261	11	56	-0.62777	0.99978	0.99999	1.0	4006	7	0.29141	-0.62777
RVBD0005:gyrB	RVBD0005	gyrB	Essential	ES	MSMEG0005		107	5.9786e-09	1.1818e-06	0.000261	12	56	-0.81879	0.99843	0.99996	1.0	3988	4	0.60536	-0.81879
RVBD3808c:glfT2	RVBD3808c	glfT2	Essential	ES	MSMEG6403	Arabinogalactan biosynthesis - Mycobacterium	174	1.0597e-08	1.1818e-06	0.000261	13	81	-0.83652	0.032714	0.11604	0.97967	369	36	0.5648	-0.83652
RVBD1302:rfe	RVBD1302	rfe	Essential	ES	MSMEG4947	Arabinogalactan biosynthesis - Mycobacterium	232	1.8497e-08	1.1818e-06	0.000261	14	101	-0.52462	0.90715	0.99282	1.0	3580	14	0.31526	-0.52462
RVBD2182c:RVBD2182c	RVBD2182c	RVBD2182c	Essential	ES	MSMEG4248	Glycerolipid metabolism,Glycerophospholipid metabolism	93	3.2493e-08	1.1818e-06	0.000261	15	50	-0.71276	0.98883	0.99963	1.0	3930	6	0.33582	-0.71276
RVBD2925c:rnc	RVBD2925c	rnc	Essential	ES	MSMEG2418		68	2.5642e-07	1.1818e-06	0.000261	16	37	-0.76674	0.94467	0.99532	1.0	3738	8	0.373	-0.76674
RVBD0903c:prrA	RVBD0903c	prrA	Essential	ES	MSMEG5662	Two-component system	68	2.7065e-07	1.1818e-06	0.000261	17	34	-0.73071	0.8627	0.98179	1.0	3405	7	0.41363	-0.73071
RVBD1924c:RVBD1924c	RVBD1924c	RVBD1924c	NonEssential	GA			5	6.2274e-07	1.1818e-06	0.000261	18	5	-0.66181	1.0	1.0	1.0	4013	0	0.0	-0.66181
RVBD3051c:nrdE	RVBD3051c	nrdE	Essential	ES	MSMEG2299	Purine metabolism,Pyrimidine metabolism	166	6.3606e-07	3.5454e-06	0.000571	19	72	-0.68106	0.4957	0.83676	1.0	2286	16	0.4014	-0.68106
RVBD1423:whiA	RVBD1423	whiA	Essential	ES	MSMEG3081		67	6.5317e-07	1.1818e-06	0.000261	20	32	-0.73799	0.62623	0.89917	1.0	2682	5	0.60367	-0.73799
RVBD2165c:RVBD2165c	RVBD2165c	RVBD2165c	Essential	GD	MSMEG4235		128	7.3023e-07	3.5454e-06	0.000571	21	59	-0.6779	0.77044	0.96681	1.0	3103	9	0.33604	-0.6779
RVBD3909:RVBD3909	RVBD3909	RVBD3909	Essential	ES	MSMEG6928		219	8.8482e-07	3.5454e-06	0.000571	22	87	-0.54385	0.1264	0.35153	1.0	900	29	0.4034	-0.54385
RVBD3721c:dnaZX	RVBD3721c	dnaZX	Essential	ES	MSMEG6285	DNA replication,Mismatch repair,Homologous recombination	160	1.0528e-06	3.5454e-06	0.000571	23	70	-0.69603	0.99766	0.99995	1.0	3982	15	0.31737	-0.69603
RVBD2703:sigA	RVBD2703	sigA	Essential	ES	MSMEG2758		65	1.1365e-06	3.5454e-06	0.000571	24	35	-0.8862	0.99854	0.99992	1.0	3989	4	0.53015	-0.8862
RVBD2145c:wag31	RVBD2145c	wag31	Essential	ES	MSMEG4217		89	1.3781e-06	3.5454e-06	0.000571	25	45	-0.64006	0.99777	0.99995	1.0	3983	6	0.38701	-0.64006
RVBD2147c:RVBD2147c	RVBD2147c	RVBD2147c	Essential	ES	MSMEG4219		40	3.47e-06	2.9545e-05	0.00442	26	20	-1.3838	0.5716	0.8457	1.0	2505	3	0.42439	-1.3838
RVBD2926c:RVBD2926c	RVBD2926c	RVBD2926c	Essential	NE	MSMEG2417		7	3.5455e-06	3.5454e-06	0.000571	27	7	-0.80266	1.0	1.0	1.0	4012	0	0.0	-0.80266
RVBD3504:fadE26	RVBD3504	fadE26	NonEssential	NE	MSMEG5906		12	7.6888e-06	1.7727e-05	0.00275	28	9	-0.46796	0.9432	0.94712	1.0	3725	0	0.0	-0.46796
RVBD1640c:lysX	RVBD1640c	lysX	NonEssential	NE	MSMEG3796	Aminoacyl-tRNA biosynthesis	29	1.2411e-05	4.1362e-05	0.005975	29	19	-0.3725	0.99964	0.99978	1.0	4003	0	0.0	-0.3725
RVBD0543c:RVBD0543c	RVBD0543c	RVBD0543c	Essential	ES	MSMEG1063		36	1.3509e-05	6.2635e-05	0.008464	30	22	-0.62656	0.83271	0.95725	1.0	3309	3	0.58107	-0.62656
RVBD2752c:RVBD2752c	RVBD2752c	RVBD2752c	NonEssential	NE	MSMEG2685	RNA degradation	15	1.3525e-05	4.8453e-05	0.006766	31	5	-0.99908	0.25713	0.46032	1.0	1474	2	0.62713	-0.99908
RVBD1614:lgt	RVBD1614	lgt	Essential	ESD	MSMEG3222		110	2.7879e-05	8.627e-05	0.010325	32	49	-0.46562	0.3424	0.69432	1.0	1803	13	0.42899	-0.46562
RVBD1206:fadD6	RVBD1206	fadD6	NonEssential	NE	MSMEG5086		16	2.9287e-05	6.4998e-05	0.008509	33	10	-0.75793	0.97234	0.97472	1.0	3851	1	0.29025	-0.75793
RVBD1728c:RVBD1728c	RVBD1728c	RVBD1728c	NonEssential	NE	MSMEG3714		6	3.3836e-05	7.2089e-05	0.008882	34	4	-0.53661	0.78871	0.79648	1.0	3170	0	0.0	-0.53661
RVBD1304:atpB	RVBD1304	atpB	Essential	ES	MSMEG4942	Oxidative phosphorylation	78	3.3884e-05	0.00013591	0.015387	35	37	-0.57536	0.98671	0.99933	1.0	3912	4	0.39317	-0.57536
